Hour,Demand
1,1082.05
2,1040.51
3,1017.06
4,1046.54
5,1161.11
6,1323.92
7,1523.58
8,1739.99
9,1901.46
10,2025.41
11,2093.75
12,1985.21
13,1837.81
14,1786.22
15,1727.26
16,1662.94
17,1780.19
18,1688.4
19,1673.66
20,1739.99
21,1717.88
22,1530.95
23,1313.87
24,1136.99
