Hour,WEC_SDGE_biomass_1.0,WEC_SDGE_hydroelectric_pumped_storage_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_2.0,WEC_SDGE_natural_gas_fired_combined_cycle_3.0,WEC_SDGE_natural_gas_fired_combined_cycle_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_1.0,WEC_SDGE_natural_gas_fired_combustion_turbine_2.0,WEC_SDGE_natural_gas_fired_combustion_turbine_3.0,WEC_SDGE_natural_gas_fired_combustion_turbine_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_5.0,WEC_SDGE_natural_gas_fired_combustion_turbine_6.0,WEC_SDGE_natural_gas_fired_combustion_turbine_7.0,WEC_SDGE_natural_gas_fired_combustion_turbine_8.0,WEC_SDGE_natural_gas_fired_combustion_turbine_9.0,WEC_SDGE_natural_gas_fired_combustion_turbine_10.0,WEC_SDGE_natural_gas_fired_combustion_turbine_11.0,WEC_SDGE_natural_gas_fired_combustion_turbine_12.0,WEC_SDGE_onshore_wind_turbine_1.0,WEC_SDGE_small_hydroelectric_1.0,WEC_SDGE_solar_photovoltaic_1.0,WEC_SDGE_naturalgas_ccccsavgcf_0.0,WEC_SDGE_naturalgas_ccavgcf_0.0,WEC_SDGE_naturalgas_ctavgcf_0.0,WEC_SDGE_battery_0.0,WEC_SDGE_naturalgas_ccs100_0.0,WEC_SDGE_landbasedwind_ltrg1_1.0,WEC_SDGE_landbasedwind_ltrg1_2.0,WEC_SDGE_utilitypv_losangeles_1.0,WEC_SDGE_utilitypv_losangeles_2.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7505,0.4351,0,1,1,1,1,1,0.861670911,0.769474864,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7803,0.4351,0,1,1,1,1,1,0.811289549,0.804333448,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.529,0.4351,0,1,1,1,1,1,0.621719241,0.587355316,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4621,0.4351,0,1,1,1,1,1,0.534332454,0.566414058,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3703,0.4351,0,1,1,1,1,1,0.469521701,0.451619923,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6396,0.4351,0,1,1,1,1,1,0.648310304,0.745926023,0,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3409,0.4351,0.0553,1,1,1,1,1,0.450812787,0.35501039,0.013967711,0.035925724
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2269,0.4351,0.2211,1,1,1,1,1,0.277320772,0.172246754,0.067933641,0.132562026
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7691,0.4351,0.4776,1,1,1,1,1,0.791600108,0.779795885,0.436028361,0.529464602
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6046,0.4351,0.5757,1,1,1,1,1,0.695997953,0.63216567,0.602751851,0.72357893
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.511,0.4351,0.6039,1,1,1,1,1,0.728941619,0.560297012,0.666458726,0.735147357
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4233,0.4351,0.6139,1,1,1,1,1,0.665786088,0.446913362,0.737981737,0.772878051
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2394,0.4351,0.6446,1,1,1,1,1,0.449626267,0.249397844,0.822409153,0.783650994
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2973,0.4351,0.6455,1,1,1,1,1,0.619330287,0.32043615,0.794866443,0.817884505
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2262,0.4351,0.6241,1,1,1,1,1,0.354134321,0.234894454,0.753308773,0.766182065
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3006,0.4351,0.5695,1,1,1,1,1,0.482802153,0.30224362,0.690914631,0.74317646
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5386,0.4351,0.543,1,1,1,1,1,0.511658132,0.517104685,0.811519802,0.819672287
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5878,0.4351,0.3342,1,1,1,1,1,0.667218268,0.565893114,0.550071239,0.561239719
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7645,0.4351,0.055,1,1,1,1,1,0.839089751,0.788183868,0.092749879,0.083774574
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7787,0.4351,0,1,1,1,1,1,0.893368006,0.813245773,0,0
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8244,0.4351,0,1,1,1,1,1,0.885333896,0.851173103,0,0
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6983,0.4351,0,1,1,1,1,1,0.889701962,0.706717014,0,0
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7444,0.4351,0,1,1,1,1,1,0.897126198,0.785994887,0,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6714,0.4351,0,1,1,1,1,1,0.848014593,0.707199693,0,0
