R_ID,Resource,region,Existing_Cap_MW,num_units,Cap_size,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,cluster,zone,voltage_level,CapRes,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,RPS,CES,Commit,Min_Share,Max_Share,Existing_Cap_MWh,unmodified_existing_cap_mw,New_Build,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Max_DSM_delay
1,biomass,WEC_SDGE,21.4,20,1.07,5.234,0,None,12.76,1.471,4.147,0.71,1,1,0,0,0,0,0,1,1,1,0,0,1,1,trans,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,32.8,-1,0,0,0,0,0,0,111708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,hydroelectric_pumped_storage,WEC_SDGE,100,2,21,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.866,0.866,0.25,0,0,1,1,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,natural_gas_fired_combined_cycle,WEC_SDGE,600,1,607.1,3.4,0,pacific_naturalgas,7.52,0,0,0.362,0.4,0.4,87,2,6,6,0,1,1,1,0,0,1,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,607.1,1,0,0,0,0,0,0,9270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,natural_gas_fired_combined_cycle,WEC_SDGE,500,1,570,3.4,0,pacific_naturalgas,7.15,0,0,0.351,0.4,0.4,87,2,6,6,0,1,1,1,0,0,2,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,570,1,0,0,0,0,0,0,9270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,natural_gas_fired_combined_cycle,WEC_SDGE,336,3,112,10.8,0,pacific_naturalgas,10.03,0,0,0.446,3.78,3.78,113,3.5,6,6,0,1,1,1,0,0,3,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,336,1,0,0,0,0,0,0,7162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,natural_gas_fired_combustion_turbine,WEC_SDGE,91.6,2,45.8,10.8,0,pacific_naturalgas,10.69,0,0,0.8,3.78,3.78,113,3.5,1,1,0,1,1,1,0,0,1,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91.6,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,natural_gas_fired_combustion_turbine,WEC_SDGE,49.9,1,49.9,10.8,0,pacific_naturalgas,10.48,0,0,0.487,3.78,3.78,113,3.5,1,1,0,1,1,1,0,0,2,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49.9,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,natural_gas_fired_combustion_turbine,WEC_SDGE,48.1,1,48.1,10.8,0,pacific_naturalgas,11.04,0,0,0.437,3.78,3.78,113,3.5,1,1,0,1,1,1,0,0,3,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.1,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,natural_gas_fired_combustion_turbine,WEC_SDGE,34.6,1,34.6,10.8,0,pacific_naturalgas,16.86,0,0,0.954,3.78,3.78,113,3.5,1,1,0,1,1,1,0,0,4,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.6,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,natural_gas_fired_combustion_turbine,WEC_SDGE,96.6,3,32.2,10.8,0,pacific_naturalgas,10.5,0,0,0.932,3.78,3.78,113,3.5,1,1,0,1,1,1,0,0,5,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96.6,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,11.15,0,0,0.329,3.78,3.78,113,3.5,1,1,0,1,1,1,0,0,6,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
