Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
2000.0,1.0,1.0,1.0,2000.0,16.0,168.0,336.0,1,10590.0,16467.0,12909.0,19756.0,21815.0,12309.0
,2.0,0.9,0.04,1800.0,,,504.0,2,11304.0,17591.0,12708.0,19830.0,21199.0,12463.0
,3.0,0.55,0.024,1100.0,,,1008.0,3,11218.0,17454.0,12767.0,19974.0,21156.0,12630.0
,4.0,0.2,0.003,400.0,,,1512.0,4,11196.0,17422.0,12805.0,20247.0,21351.0,12636.0
,,,,,,,336.0,5,11168.0,17381.0,13084.0,20869.0,21832.0,12906.0
,,,,,,,336.0,6,11567.0,18000.0,13604.0,21504.0,22908.0,12969.0
,,,,,,,504.0,7,12158.0,18934.0,14099.0,21469.0,25094.0,12760.0
,,,,,,,336.0,8,11987.0,18654.0,14410.0,21350.0,26048.0,13089.0
,,,,,,,1176.0,9,12354.0,19221.0,14658.0,21479.0,27802.0,13561.0
,,,,,,,336.0,10,12992.0,20215.0,14922.0,21752.0,29292.0,13914.0
,,,,,,,336.0,11,13683.0,21296.0,15128.0,22129.0,30294.0,14526.0
,,,,,,,504.0,12,14345.0,22328.0,15442.0,22444.0,29875.0,15326.0
,,,,,,,504.0,13,15119.0,23540.0,15658.0,22869.0,30409.0,15451.0
,,,,,,,504.0,14,15343.0,23887.0,15494.0,22367.0,29528.0,15346.0
,,,,,,,336.0,15,13561.0,21092.0,14937.0,21180.0,28686.0,15460.0
,,,,,,,168.0,16,12074.0,18758.0,14773.0,21576.0,28117.0,15994.0
,,,,,,,,17,11971.0,18598.0,15079.0,22195.0,28909.0,15775.0
,,,,,,,,18,12365.0,19222.0,15430.0,23105.0,29426.0,17171.0
,,,,,,,,19,14180.0,22050.0,16610.0,24967.0,32521.0,16988.0
,,,,,,,,20,14150.0,22005.0,16437.0,23740.0,32864.0,15926.0
,,,,,,,,21,13018.0,20235.0,15416.0,22053.0,30798.0,14836.0
,,,,,,,,22,10646.0,16530.0,14273.0,19912.0,27605.0,13424.0
,,,,,,,,23,9228.0,14315.0,13108.0,18548.0,24337.0,12378.0
,,,,,,,,24,8526.0,13231.0,12272.0,17252.0,22037.0,10629.0
,,,,,,,,25,9514.0,14820.0,11531.0,17369.0,20002.0,11006.0
,,,,,,,,26,10516.0,16393.0,11609.0,17638.0,20119.0,11050.0
,,,,,,,,27,10304.0,16065.0,11624.0,17889.0,20067.0,11479.0
,,,,,,,,28,10441.0,16277.0,11935.0,18642.0,20812.0,11758.0
,,,,,,,,29,10804.0,16842.0,12615.0,20172.0,22203.0,12635.0
,,,,,,,,30,12017.0,18735.0,14190.0,22378.0,25372.0,14063.0
,,,,,,,,31,13760.0,21465.0,15516.0,22920.0,30927.0,14730.0
,,,,,,,,32,14903.0,23249.0,15858.0,22665.0,33032.0,14460.0
,,,,,,,,33,15151.0,23627.0,15470.0,22188.0,32368.0,13956.0
,,,,,,,,34,15144.0,23605.0,15207.0,21937.0,30915.0,14054.0
,,,,,,,,35,15757.0,24559.0,15283.0,22176.0,31471.0,14239.0
,,,,,,,,36,16346.0,25479.0,15352.0,22463.0,31198.0,14559.0
,,,,,,,,37,16820.0,26218.0,15460.0,22675.0,31249.0,14577.0
,,,,,,,,38,17048.0,26573.0,15359.0,22377.0,30822.0,14666.0
,,,,,,,,39,16152.0,25163.0,15415.0,22227.0,30955.0,15431.0
,,,,,,,,40,16013.0,24947.0,16054.0,23171.0,32813.0,16498.0
,,,,,,,,41,16431.0,25607.0,17138.0,24120.0,35509.0,17789.0
,,,,,,,,42,17867.0,27866.0,18069.0,25198.0,38537.0,16678.0
,,,,,,,,43,16601.0,25881.0,17064.0,23748.0,37200.0,14393.0
,,,,,,,,44,14231.0,22181.0,15435.0,21638.0,33024.0,13498.0
,,,,,,,,45,13145.0,20490.0,14333.0,19857.0,31230.0,12006.0
,,,,,,,,46,10956.0,17070.0,13085.0,17942.0,28332.0,10810.0
,,,,,,,,47,8962.0,13956.0,12251.0,16817.0,25133.0,10384.0
,,,,,,,,48,8578.0,13353.0,12040.0,16974.0,23613.0,10671.0
,,,,,,,,49,10555.0,16454.0,12039.0,17574.0,23783.0,11009.0
,,,,,,,,50,11150.0,17389.0,11995.0,17571.0,23944.0,10950.0
,,,,,,,,51,10950.0,17080.0,12042.0,17651.0,24005.0,11291.0
,,,,,,,,52,11095.0,17308.0,12302.0,18230.0,24990.0,11440.0
,,,,,,,,53,11541.0,18002.0,13011.0,19593.0,26504.0,12339.0
,,,,,,,,54,12636.0,19714.0,14645.0,21689.0,29934.0,13725.0
,,,,,,,,55,14549.0,22712.0,16191.0,22411.0,35652.0,14515.0
,,,,,,,,56,15672.0,24465.0,16601.0,22395.0,37231.0,14276.0
,,,,,,,,57,15830.0,24703.0,16277.0,22121.0,35966.0,13834.0
,,,,,,,,58,15742.0,24554.0,15972.0,21957.0,33560.0,14038.0
,,,,,,,,59,16181.0,25236.0,16008.0,22282.0,33179.0,14383.0
,,,,,,,,60,16272.0,25373.0,16115.0,22724.0,32244.0,14864.0
,,,,,,,,61,16521.0,25760.0,16239.0,22966.0,31909.0,14946.0
,,,,,,,,62,16455.0,25655.0,16152.0,22784.0,31251.0,15349.0
,,,,,,,,63,14794.0,23048.0,16229.0,22226.0,30691.0,16244.0
,,,,,,,,64,14547.0,22661.0,17127.0,24107.0,31986.0,17837.0
,,,,,,,,65,14477.0,22551.0,18415.0,25336.0,34352.0,19573.0
,,,,,,,,66,15867.0,24733.0,19125.0,26710.0,37723.0,17745.0
,,,,,,,,67,15820.0,24658.0,18166.0,25080.0,36855.0,15298.0
,,,,,,,,68,13867.0,21607.0,16456.0,22247.0,33152.0,14325.0
,,,,,,,,69,12895.0,20096.0,15369.0,20321.0,31464.0,12736.0
,,,,,,,,70,10166.0,15826.0,14011.0,18260.0,28458.0,11872.0
,,,,,,,,71,8637.0,13439.0,12965.0,17034.0,25532.0,11100.0
,,,,,,,,72,8954.0,13942.0,12899.0,17191.0,24339.0,10847.0
