,ev_load_shifting_z5,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z6,ev_load_shifting_z4
1,0.122,0.103,0.103,0.103,0.048,0.096
2,0.049,0.042,0.042,0.047,0.04,0.046
3,0.04,0.034,0.034,0.037,0.028,0.035
4,0.027,0.022,0.022,0.022,0.006,0.019
5,0.006,0.005,0.005,0.009,0.017,0.011
6,0.019,0.015,0.015,0.023,0.035,0.025
7,0.038,0.029,0.029,0.048,0.06,0.05
8,0.072,0.055,0.055,0.088,0.115,0.092
9,0.138,0.105,0.105,0.161,0.202,0.163
10,0.236,0.181,0.181,0.252,0.271,0.243
11,0.31,0.244,0.244,0.34,0.365,0.328
12,0.405,0.317,0.317,0.432,0.463,0.414
13,0.498,0.389,0.389,0.51,0.488,0.479
14,0.514,0.405,0.405,0.526,0.509,0.498
15,0.528,0.422,0.422,0.544,0.55,0.524
16,0.555,0.452,0.452,0.58,0.616,0.564
17,0.617,0.496,0.496,0.609,0.554,0.583
18,0.577,0.474,0.474,0.606,0.675,0.604
19,0.712,0.58,0.58,0.699,0.661,0.67
20,0.699,0.562,0.562,0.663,0.558,0.616
21,0.59,0.472,0.472,0.559,0.465,0.518
22,0.485,0.389,0.389,0.454,0.36,0.421
23,0.368,0.3,0.3,0.338,0.245,0.314
24,0.236,0.192,0.192,0.205,0.051,0.17
25,0.054,0.047,0.047,0.051,0.032,0.047
26,0.033,0.029,0.029,0.031,0.015,0.028
27,0.016,0.015,0.015,0.018,0.02,0.018
28,0.019,0.017,0.017,0.019,0.011,0.018
29,0.013,0.013,0.013,0.022,0.043,0.028
30,0.051,0.047,0.047,0.073,0.109,0.078
31,0.128,0.112,0.112,0.169,0.203,0.163
32,0.238,0.195,0.195,0.259,0.224,0.228
33,0.258,0.219,0.219,0.271,0.213,0.238
34,0.246,0.212,0.212,0.265,0.244,0.243
35,0.275,0.243,0.243,0.309,0.3,0.286
36,0.338,0.293,0.293,0.362,0.344,0.334
37,0.382,0.33,0.33,0.4,0.352,0.367
38,0.39,0.34,0.34,0.417,0.405,0.394
39,0.448,0.396,0.396,0.501,0.553,0.486
40,0.596,0.526,0.526,0.667,0.716,0.638
41,0.784,0.676,0.676,0.84,0.846,0.781
42,0.92,0.773,0.773,0.913,0.661,0.792
43,0.735,0.608,0.608,0.665,0.366,0.559
44,0.411,0.346,0.346,0.39,0.282,0.343
45,0.316,0.266,0.266,0.302,0.216,0.265
46,0.244,0.2,0.2,0.219,0.14,0.192
47,0.156,0.128,0.128,0.142,0.099,0.129
48,0.106,0.087,0.087,0.096,0.059,0.091
49,0.053,0.048,0.048,0.054,0.038,0.053
50,0.033,0.029,0.029,0.033,0.018,0.031
51,0.016,0.015,0.015,0.019,0.023,0.02
52,0.02,0.017,0.017,0.02,0.013,0.02
53,0.014,0.012,0.012,0.023,0.05,0.03
54,0.052,0.044,0.044,0.076,0.125,0.086
55,0.132,0.103,0.103,0.177,0.233,0.178
56,0.238,0.183,0.183,0.27,0.255,0.246
57,0.254,0.204,0.204,0.282,0.241,0.255
58,0.236,0.202,0.202,0.273,0.273,0.259
59,0.258,0.232,0.232,0.317,0.333,0.304
60,0.316,0.286,0.286,0.371,0.385,0.356
61,0.354,0.324,0.324,0.41,0.395,0.39
62,0.361,0.338,0.338,0.427,0.457,0.42
63,0.413,0.393,0.393,0.511,0.621,0.518
64,0.555,0.524,0.524,0.681,0.81,0.682
65,0.731,0.681,0.681,0.865,0.957,0.834
66,0.862,0.785,0.785,0.94,0.741,0.846
67,0.696,0.629,0.629,0.687,0.408,0.603
68,0.391,0.357,0.357,0.405,0.315,0.368
69,0.301,0.274,0.274,0.316,0.242,0.285
70,0.235,0.21,0.21,0.231,0.158,0.206
71,0.15,0.134,0.134,0.149,0.111,0.138
72,0.101,0.088,0.088,0.092,0.059,0.09
73,0.052,0.042,0.042,0.05,0.037,0.049
74,0.032,0.025,0.025,0.031,0.018,0.029
75,0.016,0.012,0.012,0.018,0.022,0.019
76,0.019,0.014,0.014,0.019,0.013,0.019
77,0.013,0.01,0.01,0.022,0.049,0.03
78,0.051,0.037,0.037,0.071,0.123,0.083
79,0.127,0.087,0.087,0.163,0.224,0.168
80,0.232,0.161,0.161,0.249,0.249,0.232
81,0.249,0.182,0.182,0.255,0.235,0.24
82,0.23,0.181,0.181,0.246,0.266,0.244
83,0.251,0.208,0.208,0.287,0.327,0.29
84,0.306,0.263,0.263,0.334,0.375,0.338
85,0.344,0.298,0.298,0.368,0.382,0.369
86,0.349,0.31,0.31,0.383,0.438,0.399
87,0.402,0.362,0.362,0.457,0.593,0.496
88,0.541,0.483,0.483,0.607,0.779,0.655
89,0.712,0.626,0.626,0.76,0.915,0.799
90,0.838,0.716,0.716,0.839,0.716,0.815
91,0.67,0.578,0.578,0.618,0.391,0.583
92,0.375,0.329,0.329,0.363,0.302,0.359
93,0.289,0.252,0.252,0.284,0.232,0.279
94,0.225,0.194,0.194,0.205,0.148,0.201
95,0.143,0.124,0.124,0.132,0.103,0.132
96,0.097,0.082,0.082,0.085,0.051,0.083
97,0.052,0.042,0.042,0.046,0.032,0.046
98,0.032,0.025,0.025,0.028,0.015,0.026
99,0.016,0.012,0.012,0.017,0.02,0.017
100,0.019,0.014,0.014,0.018,0.011,0.017
101,0.013,0.01,0.01,0.021,0.044,0.029
102,0.051,0.037,0.037,0.067,0.11,0.079
103,0.129,0.086,0.086,0.155,0.202,0.161
104,0.237,0.162,0.162,0.239,0.224,0.222
105,0.254,0.187,0.187,0.249,0.211,0.231
106,0.236,0.188,0.188,0.239,0.233,0.234
107,0.257,0.218,0.218,0.278,0.289,0.28
108,0.309,0.272,0.272,0.327,0.33,0.329
109,0.344,0.307,0.307,0.359,0.338,0.361
110,0.348,0.317,0.317,0.377,0.389,0.391
111,0.398,0.37,0.37,0.45,0.534,0.484
112,0.529,0.493,0.493,0.597,0.702,0.64
113,0.69,0.635,0.635,0.745,0.815,0.776
114,0.809,0.722,0.722,0.816,0.644,0.796
115,0.643,0.568,0.568,0.599,0.356,0.566
116,0.364,0.324,0.324,0.354,0.275,0.349
117,0.281,0.249,0.249,0.275,0.212,0.269
118,0.216,0.189,0.189,0.198,0.135,0.192
119,0.139,0.122,0.122,0.128,0.093,0.126
120,0.094,0.082,0.082,0.082,0.048,0.082
121,0.05,0.045,0.045,0.045,0.03,0.044
122,0.031,0.027,0.027,0.027,0.014,0.026
123,0.015,0.013,0.013,0.016,0.019,0.017
124,0.018,0.015,0.015,0.017,0.011,0.017
125,0.013,0.011,0.011,0.02,0.042,0.027
126,0.048,0.04,0.04,0.064,0.104,0.074
127,0.123,0.095,0.095,0.15,0.193,0.156
128,0.225,0.175,0.175,0.233,0.218,0.219
129,0.242,0.2,0.2,0.244,0.208,0.233
130,0.228,0.198,0.198,0.236,0.235,0.237
131,0.252,0.229,0.229,0.276,0.292,0.287
132,0.306,0.279,0.279,0.323,0.337,0.337
133,0.343,0.315,0.315,0.356,0.343,0.372
134,0.349,0.326,0.326,0.373,0.395,0.402
135,0.399,0.38,0.38,0.443,0.532,0.497
136,0.533,0.505,0.505,0.585,0.694,0.655
137,0.702,0.649,0.649,0.732,0.809,0.793
138,0.825,0.734,0.734,0.789,0.63,0.8
139,0.648,0.569,0.569,0.581,0.349,0.566
140,0.36,0.323,0.323,0.341,0.271,0.349
141,0.275,0.249,0.249,0.266,0.21,0.272
142,0.213,0.189,0.189,0.194,0.135,0.196
143,0.138,0.123,0.123,0.128,0.095,0.133
144,0.099,0.091,0.091,0.103,0.122,0.111
145,0.123,0.111,0.111,0.105,0.049,0.097
146,0.05,0.046,0.046,0.048,0.041,0.046
147,0.041,0.037,0.037,0.038,0.029,0.035
148,0.027,0.024,0.024,0.023,0.006,0.019
149,0.007,0.006,0.006,0.009,0.018,0.011
150,0.019,0.017,0.017,0.023,0.035,0.024
151,0.037,0.031,0.031,0.047,0.063,0.05
152,0.071,0.058,0.058,0.087,0.12,0.093
153,0.137,0.113,0.113,0.159,0.211,0.167
154,0.237,0.195,0.195,0.25,0.28,0.249
155,0.312,0.262,0.262,0.333,0.37,0.338
156,0.411,0.341,0.341,0.421,0.466,0.429
157,0.503,0.416,0.416,0.496,0.487,0.496
158,0.524,0.43,0.43,0.515,0.507,0.518
159,0.539,0.446,0.446,0.531,0.533,0.542
160,0.567,0.474,0.474,0.564,0.596,0.585
161,0.626,0.518,0.518,0.594,0.54,0.599
162,0.579,0.49,0.49,0.591,0.652,0.62
163,0.706,0.601,0.601,0.673,0.641,0.683
164,0.679,0.581,0.581,0.633,0.546,0.624
165,0.57,0.488,0.488,0.533,0.456,0.523
166,0.468,0.405,0.405,0.437,0.363,0.427
167,0.364,0.312,0.312,0.329,0.248,0.322
168,0.24,0.205,0.205,0.211,0.125,0.202
169,0.109,0.095,0.095,0.094,0.048,0.094
170,0.044,0.038,0.038,0.043,0.04,0.045
171,0.036,0.029,0.029,0.034,0.027,0.034
172,0.025,0.019,0.019,0.02,0.006,0.018
173,0.006,0.005,0.005,0.008,0.017,0.011
174,0.017,0.013,0.013,0.021,0.034,0.024
