,ev_load_shifting_z5,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z6,ev_load_shifting_z4
175,0.035,0.025,0.025,0.043,0.058,0.048
176,0.066,0.048,0.048,0.078,0.107,0.087
177,0.123,0.095,0.095,0.141,0.189,0.157
178,0.213,0.169,0.169,0.224,0.256,0.239
179,0.283,0.232,0.232,0.302,0.336,0.324
180,0.362,0.312,0.312,0.38,0.425,0.409
181,0.445,0.383,0.383,0.45,0.45,0.475
182,0.454,0.397,0.397,0.465,0.481,0.497
183,0.472,0.415,0.415,0.486,0.516,0.528
184,0.499,0.442,0.442,0.521,0.578,0.571
185,0.558,0.485,0.485,0.549,0.53,0.591
186,0.522,0.459,0.459,0.54,0.61,0.602
187,0.606,0.53,0.53,0.607,0.613,0.661
188,0.609,0.542,0.542,0.589,0.524,0.617
189,0.513,0.475,0.475,0.486,0.426,0.508
190,0.409,0.387,0.387,0.382,0.326,0.405
191,0.311,0.296,0.296,0.283,0.218,0.303
192,0.201,0.187,0.187,0.161,0.045,0.167
193,0.047,0.041,0.041,0.041,0.028,0.046
194,0.029,0.025,0.025,0.025,0.013,0.027
195,0.014,0.012,0.012,0.014,0.017,0.017
196,0.017,0.014,0.014,0.015,0.01,0.018
197,0.012,0.01,0.01,0.018,0.038,0.028
198,0.047,0.038,0.038,0.06,0.098,0.074
199,0.117,0.09,0.09,0.138,0.182,0.154
200,0.214,0.172,0.172,0.212,0.202,0.222
201,0.233,0.196,0.196,0.223,0.191,0.233
202,0.22,0.192,0.192,0.217,0.217,0.237
203,0.245,0.222,0.222,0.255,0.272,0.282
204,0.304,0.276,0.276,0.305,0.312,0.337
205,0.34,0.31,0.31,0.337,0.325,0.37
206,0.346,0.318,0.318,0.35,0.376,0.399
207,0.396,0.37,0.37,0.418,0.507,0.498
208,0.535,0.498,0.498,0.561,0.667,0.66
209,0.697,0.641,0.641,0.704,0.772,0.804
210,0.802,0.719,0.719,0.739,0.588,0.793
211,0.621,0.536,0.536,0.54,0.326,0.563
212,0.353,0.315,0.315,0.321,0.257,0.344
213,0.27,0.252,0.252,0.244,0.197,0.269
214,0.204,0.191,0.191,0.176,0.128,0.2
215,0.131,0.123,0.123,0.115,0.089,0.129
216,0.089,0.084,0.084,0.078,0.046,0.087
217,0.047,0.046,0.046,0.044,0.029,0.05
218,0.029,0.028,0.028,0.027,0.014,0.03
219,0.014,0.014,0.014,0.015,0.017,0.019
220,0.018,0.016,0.016,0.016,0.01,0.02
221,0.012,0.012,0.012,0.02,0.038,0.03
222,0.048,0.041,0.041,0.065,0.099,0.083
223,0.118,0.098,0.098,0.147,0.184,0.167
224,0.214,0.183,0.183,0.223,0.203,0.233
225,0.23,0.206,0.206,0.233,0.194,0.243
226,0.215,0.199,0.199,0.225,0.217,0.247
227,0.24,0.23,0.23,0.261,0.27,0.289
228,0.294,0.282,0.282,0.309,0.312,0.34
229,0.332,0.315,0.315,0.339,0.325,0.371
230,0.339,0.325,0.325,0.354,0.376,0.4
231,0.392,0.377,0.377,0.426,0.508,0.498
232,0.53,0.508,0.508,0.568,0.661,0.659
233,0.699,0.653,0.653,0.711,0.771,0.792
234,0.807,0.731,0.731,0.753,0.579,0.775
235,0.623,0.543,0.543,0.551,0.322,0.547
236,0.353,0.317,0.317,0.329,0.255,0.333
237,0.269,0.255,0.255,0.25,0.197,0.256
238,0.203,0.193,0.193,0.18,0.128,0.188
239,0.129,0.125,0.125,0.118,0.09,0.129
240,0.088,0.084,0.084,0.079,0.052,0.089
241,0.047,0.046,0.046,0.045,0.033,0.052
242,0.029,0.028,0.028,0.027,0.015,0.032
243,0.014,0.014,0.014,0.016,0.019,0.02
244,0.017,0.016,0.016,0.017,0.011,0.021
245,0.012,0.012,0.012,0.02,0.043,0.032
246,0.047,0.044,0.044,0.065,0.11,0.088
247,0.117,0.106,0.106,0.148,0.202,0.173
248,0.212,0.188,0.188,0.222,0.219,0.238
249,0.229,0.209,0.209,0.232,0.206,0.246
250,0.213,0.201,0.201,0.225,0.233,0.25
251,0.237,0.232,0.232,0.26,0.287,0.291
252,0.291,0.282,0.282,0.306,0.326,0.343
253,0.326,0.316,0.316,0.334,0.332,0.373
254,0.331,0.327,0.327,0.349,0.394,0.4
255,0.38,0.379,0.379,0.419,0.535,0.494
256,0.51,0.509,0.509,0.556,0.698,0.645
257,0.664,0.653,0.653,0.695,0.81,0.773
258,0.761,0.731,0.731,0.734,0.603,0.757
259,0.587,0.541,0.541,0.529,0.331,0.531
260,0.335,0.315,0.315,0.318,0.264,0.327
261,0.259,0.254,0.254,0.243,0.203,0.253
262,0.198,0.192,0.192,0.177,0.133,0.187
263,0.127,0.125,0.125,0.117,0.095,0.129
264,0.086,0.085,0.085,0.076,0.05,0.09
265,0.046,0.047,0.047,0.043,0.032,0.053
266,0.029,0.029,0.029,0.026,0.015,0.032
267,0.014,0.015,0.015,0.015,0.019,0.021
268,0.017,0.017,0.017,0.016,0.011,0.022
269,0.012,0.013,0.013,0.019,0.042,0.033
270,0.047,0.047,0.047,0.063,0.106,0.092
271,0.116,0.111,0.111,0.141,0.194,0.179
272,0.21,0.198,0.198,0.211,0.214,0.244
273,0.227,0.216,0.216,0.221,0.202,0.252
274,0.213,0.207,0.207,0.215,0.227,0.254
275,0.237,0.238,0.238,0.249,0.281,0.294
276,0.291,0.288,0.288,0.293,0.32,0.347
277,0.326,0.323,0.323,0.32,0.328,0.376
278,0.334,0.333,0.333,0.336,0.378,0.404
279,0.387,0.386,0.386,0.403,0.513,0.496
280,0.527,0.519,0.519,0.535,0.67,0.651
281,0.692,0.668,0.668,0.668,0.78,0.777
282,0.797,0.749,0.749,0.703,0.588,0.759
283,0.611,0.555,0.555,0.511,0.324,0.539
284,0.344,0.321,0.321,0.307,0.257,0.333
285,0.259,0.26,0.26,0.234,0.197,0.258
286,0.196,0.199,0.199,0.169,0.129,0.191
287,0.126,0.129,0.129,0.112,0.092,0.131
288,0.085,0.088,0.088,0.075,0.049,0.092
289,0.044,0.047,0.047,0.043,0.031,0.054
290,0.027,0.029,0.029,0.026,0.014,0.033
291,0.013,0.015,0.015,0.015,0.018,0.021
292,0.016,0.017,0.017,0.016,0.01,0.023
293,0.011,0.013,0.013,0.019,0.039,0.034
294,0.044,0.048,0.048,0.062,0.101,0.094
295,0.109,0.116,0.116,0.14,0.186,0.182
296,0.198,0.197,0.197,0.21,0.204,0.252
297,0.216,0.215,0.215,0.22,0.194,0.261
298,0.203,0.205,0.205,0.213,0.217,0.262
299,0.226,0.237,0.237,0.245,0.267,0.303
300,0.276,0.288,0.288,0.29,0.305,0.356
301,0.309,0.323,0.323,0.317,0.311,0.384
302,0.312,0.332,0.332,0.332,0.359,0.411
303,0.354,0.384,0.384,0.394,0.478,0.503
304,0.481,0.515,0.515,0.523,0.627,0.655
305,0.618,0.658,0.658,0.656,0.733,0.781
306,0.706,0.73,0.73,0.684,0.552,0.769
307,0.539,0.537,0.537,0.494,0.305,0.543
308,0.306,0.308,0.308,0.296,0.24,0.332
309,0.237,0.248,0.248,0.229,0.186,0.259
310,0.181,0.192,0.192,0.167,0.124,0.193
311,0.119,0.127,0.127,0.112,0.089,0.137
312,0.086,0.095,0.095,0.091,0.116,0.122
313,0.101,0.112,0.112,0.097,0.047,0.115
314,0.042,0.047,0.047,0.045,0.04,0.058
315,0.034,0.039,0.039,0.037,0.028,0.046
316,0.023,0.026,0.026,0.022,0.006,0.027
317,0.006,0.007,0.007,0.009,0.017,0.014
318,0.016,0.019,0.019,0.022,0.034,0.033
319,0.033,0.037,0.037,0.044,0.057,0.06
320,0.061,0.062,0.062,0.077,0.106,0.102
321,0.116,0.115,0.115,0.14,0.188,0.178
322,0.198,0.198,0.198,0.221,0.253,0.268
323,0.264,0.268,0.268,0.292,0.323,0.353
324,0.332,0.339,0.339,0.362,0.405,0.439
325,0.407,0.416,0.416,0.425,0.419,0.507
326,0.415,0.428,0.428,0.44,0.439,0.525
327,0.43,0.444,0.444,0.46,0.457,0.549
328,0.456,0.474,0.474,0.494,0.511,0.577
329,0.504,0.516,0.516,0.522,0.479,0.581
330,0.472,0.485,0.485,0.506,0.542,0.582
331,0.534,0.552,0.552,0.561,0.533,0.632
332,0.533,0.551,0.551,0.543,0.462,0.588
333,0.453,0.48,0.48,0.454,0.382,0.491
334,0.367,0.4,0.4,0.366,0.305,0.411
335,0.284,0.314,0.314,0.28,0.212,0.32
336,0.192,0.212,0.212,0.187,0.111,0.215
337,0.097,0.113,0.113,0.095,0.05,0.118
338,0.041,0.048,0.048,0.044,0.042,0.06
339,0.033,0.04,0.04,0.036,0.03,0.048
340,0.023,0.027,0.027,0.022,0.006,0.028
341,0.005,0.007,0.007,0.009,0.018,0.015
342,0.015,0.019,0.019,0.021,0.036,0.035
343,0.031,0.037,0.037,0.041,0.058,0.064
344,0.056,0.062,0.062,0.072,0.106,0.112
345,0.106,0.114,0.114,0.13,0.185,0.196
346,0.184,0.194,0.194,0.208,0.248,0.292
347,0.245,0.26,0.26,0.273,0.323,0.387
348,0.316,0.335,0.335,0.348,0.411,0.48
349,0.393,0.415,0.415,0.413,0.419,0.544
350,0.4,0.43,0.43,0.425,0.443,0.55
351,0.419,0.456,0.456,0.446,0.462,0.562
352,0.441,0.489,0.489,0.477,0.514,0.579
353,0.492,0.54,0.54,0.507,0.467,0.581
354,0.463,0.511,0.511,0.493,0.535,0.587
355,0.531,0.582,0.582,0.551,0.524,0.641
356,0.516,0.568,0.568,0.523,0.459,0.606
357,0.436,0.493,0.493,0.438,0.394,0.52
358,0.359,0.411,0.411,0.356,0.317,0.435
359,0.274,0.318,0.318,0.269,0.218,0.332
360,0.178,0.204,0.204,0.161,0.05,0.188
361,0.041,0.049,0.049,0.041,0.032,0.054
362,0.025,0.031,0.031,0.025,0.015,0.033
363,0.012,0.016,0.016,0.015,0.019,0.022
364,0.015,0.018,0.018,0.016,0.011,0.023
365,0.01,0.014,0.014,0.018,0.041,0.034
366,0.036,0.049,0.049,0.054,0.101,0.094
367,0.088,0.112,0.112,0.116,0.171,0.183
368,0.158,0.185,0.185,0.18,0.191,0.259
369,0.18,0.201,0.201,0.194,0.179,0.271
370,0.173,0.195,0.195,0.193,0.209,0.273
371,0.201,0.229,0.229,0.225,0.255,0.325
372,0.244,0.282,0.282,0.268,0.295,0.377
373,0.277,0.323,0.323,0.297,0.299,0.409
374,0.285,0.341,0.341,0.314,0.344,0.438
375,0.33,0.404,0.404,0.38,0.478,0.531
376,0.451,0.555,0.555,0.514,0.627,0.686
377,0.601,0.726,0.726,0.653,0.743,0.805
378,0.701,0.821,0.821,0.693,0.559,0.799
379,0.529,0.605,0.605,0.507,0.311,0.568
380,0.297,0.343,0.343,0.298,0.245,0.35
381,0.225,0.271,0.271,0.224,0.189,0.271
382,0.166,0.204,0.204,0.163,0.128,0.202
383,0.108,0.134,0.134,0.109,0.092,0.14
384,0.075,0.092,0.092,0.075,0.05,0.096
385,0.04,0.049,0.049,0.042,0.032,0.055
386,0.025,0.031,0.031,0.026,0.015,0.034
387,0.013,0.016,0.016,0.015,0.019,0.022
388,0.015,0.019,0.019,0.016,0.011,0.024
389,0.011,0.014,0.014,0.019,0.042,0.037
390,0.041,0.051,0.051,0.062,0.105,0.102
391,0.102,0.122,0.122,0.134,0.186,0.199
392,0.181,0.205,0.205,0.203,0.204,0.275
393,0.199,0.221,0.221,0.214,0.188,0.282
394,0.188,0.21,0.21,0.209,0.218,0.281
395,0.215,0.243,0.243,0.243,0.264,0.329
396,0.259,0.297,0.297,0.288,0.303,0.38
397,0.294,0.336,0.336,0.321,0.31,0.41
398,0.302,0.35,0.35,0.339,0.359,0.438
399,0.347,0.411,0.411,0.406,0.487,0.529
400,0.471,0.559,0.559,0.541,0.644,0.682
401,0.623,0.729,0.729,0.681,0.777,0.805
402,0.724,0.816,0.816,0.719,0.597,0.798
403,0.545,0.609,0.609,0.522,0.318,0.568
404,0.306,0.344,0.344,0.306,0.25,0.352
405,0.232,0.271,0.271,0.232,0.191,0.273
406,0.173,0.206,0.206,0.169,0.125,0.204
407,0.112,0.135,0.135,0.113,0.089,0.141
408,0.077,0.092,0.092,0.077,0.051,0.094
409,0.042,0.05,0.05,0.043,0.033,0.055
410,0.026,0.031,0.031,0.026,0.015,0.034
411,0.013,0.016,0.016,0.015,0.02,0.022
412,0.016,0.019,0.019,0.017,0.011,0.024
413,0.011,0.014,0.014,0.019,0.042,0.037
414,0.042,0.051,0.051,0.062,0.106,0.101
415,0.104,0.122,0.122,0.134,0.182,0.195
416,0.181,0.207,0.207,0.203,0.204,0.271
417,0.196,0.221,0.221,0.211,0.186,0.277
418,0.183,0.206,0.206,0.206,0.215,0.275
419,0.211,0.236,0.236,0.239,0.257,0.321
420,0.254,0.282,0.282,0.285,0.296,0.372
421,0.29,0.314,0.314,0.318,0.308,0.402
422,0.297,0.323,0.323,0.336,0.357,0.43
423,0.342,0.375,0.375,0.404,0.494,0.519
424,0.465,0.507,0.507,0.539,0.672,0.669
425,0.613,0.655,0.655,0.676,0.802,0.789
426,0.718,0.737,0.737,0.713,0.605,0.781
427,0.542,0.558,0.558,0.519,0.331,0.556
428,0.305,0.324,0.324,0.307,0.257,0.346
429,0.23,0.259,0.259,0.231,0.199,0.269
430,0.171,0.2,0.2,0.169,0.128,0.201
431,0.111,0.133,0.133,0.113,0.094,0.139
432,0.077,0.091,0.091,0.077,0.051,0.091
433,0.042,0.05,0.05,0.043,0.033,0.053
434,0.026,0.031,0.031,0.026,0.015,0.033
435,0.013,0.016,0.016,0.015,0.02,0.022
436,0.016,0.019,0.019,0.017,0.011,0.023
437,0.011,0.014,0.014,0.019,0.042,0.035
438,0.042,0.051,0.051,0.062,0.105,0.097
439,0.104,0.123,0.123,0.134,0.182,0.188
440,0.181,0.207,0.207,0.203,0.203,0.259
441,0.197,0.222,0.222,0.214,0.188,0.268
442,0.184,0.21,0.21,0.207,0.219,0.267
443,0.212,0.242,0.242,0.242,0.264,0.313
444,0.253,0.292,0.292,0.287,0.303,0.366
445,0.289,0.328,0.328,0.317,0.308,0.396
446,0.294,0.341,0.341,0.331,0.358,0.422
447,0.337,0.399,0.399,0.396,0.491,0.506
448,0.457,0.542,0.542,0.529,0.649,0.645
449,0.607,0.704,0.704,0.665,0.76,0.751
450,0.71,0.792,0.792,0.7,0.575,0.745
451,0.536,0.593,0.593,0.509,0.319,0.526
452,0.302,0.338,0.338,0.301,0.249,0.323
453,0.23,0.267,0.267,0.229,0.193,0.252
454,0.17,0.205,0.205,0.167,0.129,0.189
455,0.111,0.136,0.136,0.112,0.092,0.132
456,0.076,0.092,0.092,0.077,0.051,0.093
457,0.041,0.051,0.051,0.043,0.032,0.054
458,0.026,0.032,0.032,0.026,0.015,0.034
459,0.013,0.017,0.017,0.015,0.019,0.022
460,0.016,0.019,0.019,0.017,0.011,0.023
461,0.011,0.015,0.015,0.019,0.041,0.035
462,0.041,0.053,0.053,0.062,0.103,0.097
463,0.104,0.126,0.126,0.134,0.184,0.186
464,0.18,0.212,0.212,0.203,0.204,0.258
465,0.195,0.229,0.229,0.213,0.186,0.264
466,0.182,0.216,0.216,0.208,0.215,0.261
467,0.208,0.249,0.249,0.241,0.259,0.299
468,0.25,0.301,0.301,0.286,0.296,0.345
469,0.284,0.338,0.338,0.32,0.303,0.374
470,0.29,0.352,0.352,0.338,0.348,0.401
471,0.33,0.412,0.412,0.403,0.471,0.49
472,0.447,0.559,0.559,0.539,0.625,0.639
473,0.596,0.725,0.725,0.674,0.733,0.756
474,0.693,0.812,0.812,0.701,0.55,0.745
475,0.522,0.606,0.606,0.508,0.302,0.527
476,0.29,0.343,0.343,0.296,0.235,0.323
477,0.221,0.27,0.27,0.226,0.182,0.253
478,0.166,0.208,0.208,0.166,0.123,0.192
479,0.109,0.139,0.139,0.112,0.088,0.138
480,0.08,0.104,0.104,0.095,0.114,0.121
481,0.1,0.12,0.12,0.099,0.047,0.111
482,0.043,0.051,0.051,0.046,0.039,0.056
483,0.035,0.043,0.043,0.038,0.028,0.045
484,0.024,0.029,0.029,0.023,0.005,0.026
485,0.006,0.007,0.007,0.009,0.017,0.014
486,0.016,0.021,0.021,0.023,0.034,0.032
487,0.034,0.041,0.041,0.043,0.057,0.059
488,0.059,0.067,0.067,0.076,0.106,0.102
489,0.11,0.123,0.123,0.137,0.185,0.177
490,0.19,0.207,0.207,0.216,0.248,0.264
491,0.254,0.277,0.277,0.283,0.32,0.342
492,0.324,0.359,0.359,0.36,0.405,0.424
493,0.399,0.445,0.445,0.429,0.408,0.48
494,0.397,0.46,0.46,0.442,0.433,0.487
495,0.41,0.481,0.481,0.464,0.454,0.499
496,0.437,0.512,0.512,0.492,0.52,0.522
497,0.496,0.559,0.559,0.515,0.482,0.528
498,0.468,0.521,0.521,0.498,0.56,0.537
499,0.54,0.606,0.606,0.565,0.549,0.591
500,0.526,0.594,0.594,0.538,0.468,0.555
501,0.445,0.515,0.515,0.45,0.396,0.475
502,0.366,0.434,0.434,0.368,0.311,0.4
503,0.28,0.337,0.337,0.28,0.215,0.31
504,0.187,0.226,0.226,0.182,0.118,0.208
505,0.111,0.127,0.127,0.123,0.05,0.141
506,0.046,0.054,0.054,0.056,0.042,0.07
507,0.038,0.044,0.044,0.046,0.03,0.057
508,0.026,0.03,0.03,0.028,0.006,0.033
509,0.006,0.008,0.008,0.011,0.018,0.017
510,0.017,0.021,0.021,0.027,0.037,0.04
511,0.036,0.041,0.041,0.051,0.061,0.072
512,0.063,0.071,0.071,0.091,0.115,0.127
513,0.121,0.13,0.13,0.168,0.196,0.224
514,0.205,0.215,0.215,0.266,0.265,0.337
515,0.282,0.294,0.294,0.36,0.338,0.451
516,0.36,0.379,0.379,0.457,0.421,0.562
517,0.442,0.468,0.468,0.543,0.446,0.644
518,0.459,0.493,0.493,0.563,0.461,0.659
519,0.473,0.518,0.518,0.579,0.49,0.672
520,0.499,0.554,0.554,0.608,0.554,0.695
521,0.553,0.608,0.608,0.632,0.516,0.694
522,0.526,0.575,0.575,0.617,0.605,0.692
523,0.609,0.662,0.662,0.696,0.604,0.764
524,0.598,0.644,0.644,0.673,0.511,0.724
525,0.504,0.552,0.552,0.567,0.439,0.619
526,0.42,0.468,0.468,0.464,0.337,0.528
527,0.315,0.356,0.356,0.35,0.239,0.403
528,0.208,0.229,0.229,0.21,0.053,0.232
529,0.048,0.054,0.054,0.054,0.034,0.066
530,0.029,0.034,0.034,0.033,0.016,0.041
531,0.015,0.017,0.017,0.019,0.021,0.026
532,0.018,0.02,0.02,0.021,0.012,0.028
