slot,cluster
1,6
2,14
3,15
4,12
5,2
6,6
7,6
8,9
9,10
10,9
11,7
12,11
13,13
14,11
15,7
16,11
17,7
18,11
19,13
20,5
21,7
22,5
23,5
24,11
25,1
26,16
27,11
28,5
29,5
30,5
31,5
32,5
33,5
34,4
35,5
36,5
37,8
38,5
39,8
40,8
41,6
42,3
43,6
44,4
45,2
46,15
47,4
48,6
49,4
50,15
51,12
52,15
