Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,1.0,168.0,1.0,1,0,32561,3005
,2.0,0.067,0.075,603.0,,,,2,0,32093,3012
,,,,,,,,3,0,32077,3053
,,,,,,,,4,0,32606,3124
,,,,,,,,5,0,33687,3207
,,,,,,,,6,0,34475,3299
,,,,,,,,7,0,35576,3367
,,,,,,,,8,0,36631,3369
,,,,,,,,9,0,37034,3317
,,,,,,,,10,0,37025,3271
,,,,,,,,11,0,36857,3208
,,,,,,,,12,0,36350,3153
,,,,,,,,13,0,35715,3090
,,,,,,,,14,0,35398,3062
,,,,,,,,15,0,35579,3070
,,,,,,,,16,0,37956,3177
,,,,,,,,17,0,41727,3425
,,,,,,,,18,0,42244,3507
,,,,,,,,19,0,42174,3519
,,,,,,,,20,0,41773,3534
,,,,,,,,21,0,40468,3486
,,,,,,,,22,0,38708,3422
,,,,,,,,23,0,37338,3351
,,,,,,,,24,0,36822,3357
,,,,,,,,25,0,36812,3385
,,,,,,,,26,0,37304,3431
,,,,,,,,27,0,38558,3507
,,,,,,,,28,0,41066,3651
,,,,,,,,29,0,44459,3832
,,,,,,,,30,0,46275,3953
,,,,,,,,31,0,46588,3933
,,,,,,,,32,0,46581,3846
,,,,,,,,33,0,46236,3729
,,,,,,,,34,0,45064,3607
,,,,,,,,35,0,43737,3500
,,,,,,,,36,0,42211,3411
,,,,,,,,37,0,40956,3319
,,,,,,,,38,0,40308,3263
,,,,,,,,39,0,40586,3264
,,,,,,,,40,0,43595,3391
,,,,,,,,41,0,47926,3653
,,,,,,,,42,0,48824,3723
,,,,,,,,43,0,49091,3745
,,,,,,,,44,0,48380,3724
,,,,,,,,45,0,46240,3617
,,,,,,,,46,0,43973,3515
,,,,,,,,47,0,42693,3467
,,,,,,,,48,0,42425,3430
,,,,,,,,49,0,42784,3413
,,,,,,,,50,0,43685,3489
,,,,,,,,51,0,45703,3555
,,,,,,,,52,0,50075,3739
,,,,,,,,53,0,56279,4007
,,,,,,,,54,0,58066,4148
,,,,,,,,55,0,55685,4058
,,,,,,,,56,0,52812,3915
,,,,,,,,57,0,50302,3762
,,,,,,,,58,0,47997,3615
,,,,,,,,59,0,46020,3487
,,,,,,,,60,0,44513,3381
,,,,,,,,61,0,43219,3301
,,,,,,,,62,0,42504,3244
,,,,,,,,63,0,42718,3225
,,,,,,,,64,0,45563,3308
,,,,,,,,65,0,49799,3565
,,,,,,,,66,0,50415,3639
,,,,,,,,67,0,50230,3647
,,,,,,,,68,0,48741,3589
,,,,,,,,69,0,45656,3463
,,,,,,,,70,0,42501,3315
,,,,,,,,71,0,40497,3289
,,,,,,,,72,0,39684,3267
,,,,,,,,73,0,39436,3272
,,,,,,,,74,0,39753,3301
,,,,,,,,75,0,41259,3360
,,,,,,,,76,0,45022,3538
,,,,,,,,77,0,50742,3799
,,,,,,,,78,0,52158,3909
,,,,,,,,79,0,49958,3820
,,,,,,,,80,0,47857,3709
,,,,,,,,81,0,46043,3615
,,,,,,,,82,0,44435,3513
,,,,,,,,83,0,43259,3392
,,,,,,,,84,0,42442,3314
,,,,,,,,85,0,41732,3250
,,,,,,,,86,0,41203,3203
,,,,,,,,87,0,41268,3217
,,,,,,,,88,0,43106,3279
,,,,,,,,89,0,46340,3506
,,,,,,,,90,0,46471,3560
,,,,,,,,91,0,46018,3567
,,,,,,,,92,0,44521,3537
,,,,,,,,93,0,41796,3443
,,,,,,,,94,0,38847,3340
,,,,,,,,95,0,37076,3298
,,,,,,,,96,0,36418,3301
,,,,,,,,97,0,36202,3329
,,,,,,,,98,0,36572,3390
,,,,,,,,99,0,38042,3485
,,,,,,,,100,0,41826,3671
,,,,,,,,101,0,47626,3950
,,,,,,,,102,0,49357,4061
,,,,,,,,103,0,47570,3916
