region,Resource,cluster,R_ID,zone,voltage_level,CapRes,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,RPS,CES,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh
ERC_R,landbasedwind_ltrg1,Ron1,32,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1848.055,0,0,1202360.38,116618.125,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10293.125,0,0,0,0,0
ERC_R,landbasedwind_ltrg1,Ron2,33,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2552.931,0,0,1202360.38,118549.984,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12224.984,0,0,0,0,0
ERC_R,landbasedwind_ltrg1,Ron3,34,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2288.25,0,0,1202360.38,119352.603,38186,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13027.603,0,0,0,0,0
ERC_R,offshorewind_otrg3,Roff1,35,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,842.5,0,0,2356894.31,406781.063,63489,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,188669.063,0,0,0,0,0
ERC_R,offshorewind_otrg3,Roff2,36,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1330,0,0,2356894.31,419435.054,63489,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,201323.054,0,0,0,0,0
ERC_R,offshorewind_otrg3,Roff3,37,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1520,0,0,2356894.31,432319.042,63489,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,214207.042,0,0,0,0,0
ERC_R,utilitypv_losangeles,Rpv1,38,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,41431.5,0,0,817501.045,81640.835,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6625.835,0,0,0,0,0
ERC_R,utilitypv_losangeles,Rpv2,39,2,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,32915.25,0,0,817501.045,80473.594,12603,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5458.594,0,0,0,0,0
ERC_R,battery,1,40,2,trans,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,342308.369,37699,8557,104507.308,11509,2612,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_R,naturalgas_ccs100,1,41,2,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,2065960.038,195006.334,44735,0,0,0,8.1,0,0,91,3.5,7.86,0,0,ercot_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_W,naturalgas_ccccsavgcf,1,42,3,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,500,0,-1,0,0,1949960.038,184406.334,35065,0,0,0,7.5,0,0,91,3.5,7.49,0,0,ercot_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,85620,6215.334,0,0,0,0,0
ERC_W,naturalgas_ccavgcf,1,43,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,768581.889,76983,10463,0,0,0,2.1,0,0,91,3.5,6.15,0,0,ercot_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_W,naturalgas_ctavgcf,1,44,3,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,654884.77,65063,7143,0,0,0,11.2,0,0,118,3.5,8.8,0,0,ercot_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
