R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
173,SoCal,2,Natural Gas Fired Combustion Turbine,8,3,39.8,119.4,0,11493,11.728,pacific_reference_naturalgas,7.427,0.463,0.535,0.678,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
174,SoCal,2,Natural Gas Fired Combustion Turbine,9,5,47.4,237,0,9042,11.728,pacific_reference_naturalgas,13.104,0,0,0.316,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
175,SoCal,2,Natural Gas Fired Combustion Turbine,10,11,26.636,292.996,0,11493,11.728,pacific_reference_naturalgas,12.144,0.986,0.656,0.285,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
176,SoCal,2,Natural Gas Steam Turbine,1,2,745.5,1491,0,26418,1.043,pacific_reference_naturalgas,11.921,0.267,0.377,0.101,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
177,SoCal,2,Natural Gas Steam Turbine,2,2,134.05,268.1,0,50678,1.043,pacific_reference_naturalgas,11.537,0.203,0.288,0.298,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
178,SoCal,2,Onshore Wind Turbine,1,66,53.847,4252.6,0,45062,0,None,9.121,0,0.011,0.019,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
179,SoCal,2,Small Hydroelectric,1,101,0.997,100.697,0,46475,0,None,8.56,0,2.335,0.184,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
180,SoCal,2,Solar Photovoltaic,1,470,13.041,6279.5,0,18715,0,None,9.131,0,0.016,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
181,UT,11,Biomass,1,11,0.823,9.053,0,116511,5.378,None,12.507,1.287,2.092,0.612,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
182,UT,11,Conventional Hydroelectric,1,3,50.6,151.8,304,46475,0,None,9.118,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
183,UT,11,Conventional Steam Coal,1,3,455.667,1367.001,0,64629.819,1.857,mountain_reference_coal,10.407,0.384,0.384,0.329,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
184,UT,11,Conventional Steam Coal,2,1,51,51,0,69861,1.857,mountain_reference_coal,12.083,0,,0.686,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
185,UT,11,Conventional Steam Coal,3,5,632.2,3161,0,54700.265,1.857,mountain_reference_coal,10.12,0.693,0.397,0.36,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
