Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,108,23655,35168,15180,23985,33597,20585
,,,,,,,,109,26042,39790,15770,25477,34558,21521
,,,,,,,,110,28438,43060,16228,26969,34808,21952
,,,,,,,,111,31384,46307,16539,28664,35770,22826
,,,,,,,,112,35363,50516,17109,30634,38215,24322
,,,,,,,,113,38211,53651,18040,32715,41107,25732
,,,,,,,,114,38755,54386,18717,33050,42864,26510
,,,,,,,,115,34769,48793,18641,32352,39286,24017
,,,,,,,,116,30488,42787,17176,29999,34618,20975
,,,,,,,,117,29354,41193,15527,27219,32455,20089
,,,,,,,,118,26899,37749,14320,25028,29467,18723
,,,,,,,,119,23743,33320,13012,22646,26197,16902
,,,,,,,,120,21293,29883,11891,20582,23772,15826
,,,,,,,,121,19391,27213,11156,19481,21812,14967
,,,,,,,,122,18534,26010,10693,18451,20847,14395
,,,,,,,,123,17791,24966,10412,17958,20338,13903
,,,,,,,,124,17566,24639,10314,17896,20528,13790
,,,,,,,,125,16908,23835,10553,18278,21463,13712
,,,,,,,,126,16339,23843,11182,18385,23650,14578
,,,,,,,,127,16745,25059,12029,18501,26482,15622
,,,,,,,,128,17611,26717,12905,19202,29353,16746
,,,,,,,,129,18215,27357,13790,20560,30515,17298
,,,,,,,,130,18887,29143,14094,20901,30574,17433
,,,,,,,,131,20108,31493,14246,21337,31457,18377
,,,,,,,,132,22111,33481,14769,23053,32575,19401
,,,,,,,,133,24035,36926,15270,24997,33331,20237
,,,,,,,,134,25992,39555,15644,26539,33511,20511
,,,,,,,,135,28838,42821,15845,28137,34172,21397
,,,,,,,,136,32927,47319,16134,30184,36253,23073
,,,,,,,,137,36081,50662,16678,32133,38731,24661
,,,,,,,,138,36635,51412,17338,32840,40140,25576
,,,,,,,,139,32634,45796,17193,31953,36378,23231
,,,,,,,,140,28423,39887,15750,29495,32003,20224
,,,,,,,,141,27174,38133,14258,26709,29838,19288
,,,,,,,,142,24946,35009,13298,24865,27223,18071
,,,,,,,,143,22392,31424,12260,22740,24498,16545
,,,,,,,,144,20324,28521,11359,21000,22371,15391
,,,,,,,,145,19618,27531,10990,20283,22847,15353
,,,,,,,,146,18059,25343,10938,19698,21286,14290
,,,,,,,,147,17295,24272,10515,18714,20800,13966
,,,,,,,,148,16951,23789,10347,18470,20626,13538
,,,,,,,,149,16050,22661,10350,18393,20758,13276
,,,,,,,,150,14710,21474,10464,17898,21565,13573
,,,,,,,,151,13649,20188,10664,17014,22948,13684
,,,,,,,,152,13758,19697,11105,17187,24998,14038
,,,,,,,,153,15033,20488,11954,18469,27292,15125
,,,,,,,,154,16895,23845,12855,20321,29661,16564
,,,,,,,,155,19308,27043,13690,22551,30985,17851
,,,,,,,,156,22278,30762,14278,24958,32438,19129
,,,,,,,,157,24391,34367,14942,26930,33783,20561
,,,,,,,,158,26194,36681,15389,28840,33672,20940
,,,,,,,,159,27933,38964,15372,29881,33860,20998
,,,,,,,,160,29316,41336,15501,30552,34462,20856
,,,,,,,,161,30472,42777,15685,30918,35313,21525
,,,,,,,,162,29851,41890,15525,30171,34860,20862
,,,,,,,,163,29991,42088,15265,29481,35524,21566
,,,,,,,,164,29371,41217,15555,30030,35177,21314
,,,,,,,,165,28277,39682,15347,28975,33268,20556
,,,,,,,,166,26166,36721,14347,27063,30441,19413
,,,,,,,,167,23547,33044,13080,25017,27498,17997
,,,,,,,,168,20890,29316,12124,23009,24609,16324
,,,,,,,,169,15625,21929,12471,17430,26256,15796
,,,,,,,,170,14364,20157,11752,16106,24814,15134
,,,,,,,,171,13852,19439,11464,15508,24626,15290
,,,,,,,,172,13488,18929,11435,15348,24525,15261
,,,,,,,,173,13356,18630,11461,15215,24808,15117
,,,,,,,,174,13595,16455,11647,15011,26161,15397
,,,,,,,,175,13269,13843,12173,14480,28088,15523
