R_ID,Zone_name,Zone,Resource,Cluster,New_Build,Num_Units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,capex,Inv_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,Min_Duration,Max_Duration,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
114,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_10,1,0,0,0,0,287169.392,656055.873,95310,0,0,7143,0,11.2,biogas,8.8,0,0,0.3,1,1,0,118,3.5,1,1,1,1,0,0,0,0,1,0,0,0,1
115,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_11,1,0,0,0,0,287169.392,656055.873,95310,0,0,7143,0,11.2,biogas,8.8,0,0,0.3,1,1,0,118,3.5,1,1,1,1,0,0,0,0,1,0,0,0,1
116,WECC_NMAZ,4,battery,1,-1,55,72,3960,7920,-1,785075.416,74099.806,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
117,WECC_NMAZ,4,nuclear,1,-1,265,17.5,4648.1,18592,-1,785075.416,76186.711,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
118,WECC_NMAZ,4,naturalgas_ccs100,1,-1,6,0.8,4.8,0,-1,785075.416,74233.982,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
119,WECC_PNW,5,naturalgas_ccccsavgcf,1,-1,130,1.8,231.4,0,-1,785075.416,76526.709,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
120,WECC_PNW,5,new_onshore_wind,WECC_PNW_0,1,0,0,0,0,48764.4,0,0,0,0,17943,0,0,None,9.16,0.092,0.044,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
121,WECC_PNW,5,new_floating_offshore_wind,WECC_PNW_0,1,0,0,0,0,6591.433,0,0,0,0,68272,0,0,None,0,0,0,0.672,1,1,0,0,0,0,0,0.866,0.866,0,0,0,0,0,1,0,0,1
122,WECC_PNW,5,new_floating_offshore_wind,WECC_PNW_1,1,0,0,0,0,6591.433,0,0,0,0,97272,0,0,None,9.13,0,0.115,0.193,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
123,WECC_PNW,5,new_floating_offshore_wind,WECC_PNW_2,1,0,0,0,0,6591.433,0,0,0,0,135226,0,0,None,9.12,0,0,0.18,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
124,WECC_PNW,5,new_utility_pv,WECC_PNW_2,1,0,0,0,0,344637,0,0,0,0,68272,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.866,0.866,0,0,0,0,0,1,0,0,1
125,WECC_PNW,5,battery,1,-1,108,61.2,6607.44,13215,-1,5912426.309,519134.343,0,0,100888,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
126,WECC_PNW,5,nuclear,1,-1,500,59.7,29850,119400,-1,1989354.76,192901,0,0,43290,0,7.7,pacific_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
127,WECC_PNW,5,naturalgas_ccs100,1,-1,2,162,324,51428.57,-1,1152631.419,113872.355,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
128,WECC_WYCO,6,naturalgas_ccccsavgcf,2,-1,1,1.2,1.17,0.74,-1,1152631.419,115229,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
129,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_0,1,0,0,0,0,60173.02857,0,0,0,0,43205,0,0,None,9.12,0,0.024,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
130,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_1,1,0,0,0,0,60173.02857,0,0,0,0,68272,0,0,None,9.12,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
131,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_2,1,0,0,0,0,60173.02857,0,0,0,0,68272,0,0,None,0,0,0,0.037,1,1,0,0,0,0,0,0.866,0.866,0,0,0,0,0,1,0,0,1
132,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_3,1,0,0,0,0,60173.02857,0,0,0,0,17943,0,0,None,9.13,0,0.024,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
133,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_4,1,0,0,0,0,60173.02857,0,0,0,0,43205,0,0,None,9.12,0,0.018,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
134,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_5,1,0,0,0,0,60173.02857,0,0,0,0,68272,0,0,None,9.12,0,0.006,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
135,WECC_WYCO,6,new_onshore_wind,WECC_WYCO_6,1,0,0,0,0,60173.02857,0,0,0,0,100859,0,2.3,rockies_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
136,WECC_WYCO,6,new_utility_pv,WECC_WYCO_0,1,0,0,0,0,462283.18,0,0,0,0,68272,0,0,None,9.12,0,0.01,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
137,WECC_WYCO,6,new_utility_pv,WECC_WYCO_1,1,0,0,0,0,462283.18,0,0,0,0,43205,0,0,None,9.12,0,0.012,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
138,WECC_WYCO,6,new_utility_pv,WECC_WYCO_2,1,0,0,0,0,462283.18,0,0,0,0,43205,0,0,None,9.12,0,0.016,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
139,WECC_WYCO,6,new_utility_pv,WECC_WYCO_3,1,0,0,0,0,462283.18,0,0,0,0,43205,0,0,None,9.14,0,0.026,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
140,WECC_WYCO,6,new_utility_pv,WECC_WYCO_4,1,0,0,0,0,462283.18,0,0,0,0,17943,0,0,None,9.13,0,0.016,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
141,WECC_WYCO,6,battery,2,-1,1,2,1.95,0,-1,1152631.419,117155.218,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
142,WECC_WYCO,6,nuclear,2,-1,1,2.7,2.66,1.68,-1,1152631.419,124361.495,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
143,WECC_WYCO,6,naturalgas_ccs100,1,-1,13,0.5,6.24,0,-1,1152631.419,121928.672,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
156,CA_N,1,new_biogas_CCGT,1,-1,3,4.8,14.49,9.17,-1,1152631.419,124614.489,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
157,CA_S,2,new_biogas_CCGT,1,-1,71,0.4,28.4,0,-1,1152631.419,127983.482,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
158,WECC_N,3,new_biogas_CCGT,1,-1,2,18.4,36.72,0,-1,0,0,0,0,142946,0,7.1,None,17.27,1.1,1.271,0.32,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
159,WECC_NMAZ,4,new_biogas_CCGT,1,-1,60,1.1,67.2,0,-1,0,0,0,0,101630,0,5.1,None,12.28,2.472,2.042,0.538,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
160,WECC_PNW,5,new_biogas_CCGT,1,-1,1,119,119,18888.89,-1,0,0,0,0,135226,0,0,None,9.12,0,0,0.053,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
161,WECC_WYCO,6,new_biogas_CCGT,1,-1,116,1.1,126.44,0,-1,0,0,0,0,135226,0,0,None,9.12,0,0,0.398,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
162,WECC_PNW,5,biomass,1,0,0,0,0,0,-1,785075.416,95737.398,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
163,WECC_PNW,5,biomass,1,1,0,0,0,0,-1,0,0,0,0,85039,0,4.2,None,10.28,1.211,1.709,0.422,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
164,WECC_PNW,5,conventional_hydroelectric,0,1,0,0,0,0,-1,0,0,0,0,108622,0,5.4,None,13.13,3.306,4.675,0.606,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
165,WECC_PNW,5,geothermal,1,0,0,0,0,0,-1,1152631.419,118078.004,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
166,WECC_PNW,5,geothermal,0,1,0,0,0,0,-1,0,0,0,0,99702,0,5,None,12.05,1.484,2.744,0.571,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
167,WECC_PNW,5,hydroelectric_pumped_storage,1,0,152,18.3,2787.1,0,-1,1152631.419,123290.422,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
168,WECC_PNW,5,hydroelectric_pumped_storage,1,1,0,0,0,0,-1,0,0,0,0,176342,0,8.8,None,21.31,8.947,10.576,0.295,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
169,WECC_PNW,5,nuclear,2,-1,3,11,33.06,0,-1,0,0,0,0,17943,0,0,None,9.15,0,0.025,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
170,WECC_PNW,5,onshore_wind_turbine,2,-1,8,12.5,100.32,63.49,-1,0,0,0,0,68272,0,0,None,0,0,0,0.033,1,1,0,0,0,0,0,0.866,0.866,0,0,0,0,0,1,0,0,1
171,WECC_PNW,5,solar_photovoltaic,2,-1,3,3.8,11.4,0,-1,0,0,0,0,68272,0,0,None,9.12,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
