,onshore_wind_turbine_1,biomass_2,conventional_hydroelectric_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combustion_turbine_6,natural_gas_steam_turbine_7,nuclear_8,onshore_wind_turbine_9,small_hydroelectric_10,solar_photovoltaic_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combustion_turbine_14,onshore_wind_turbine_15,solar_photovoltaic_16,naturalgas_ccccsavgcf_17,naturalgas_ccavgcf_18,naturalgas_ctavgcf_19,landbasedwind_ltrg1_20,landbasedwind_ltrg1_21,landbasedwind_ltrg1_22,utilitypv_losangeles_23,utilitypv_losangeles_24,utilitypv_losangeles_25,utilitypv_losangeles_26,battery_27,naturalgas_ccs100_28,naturalgas_ccccsavgcf_29,naturalgas_ccavgcf_30,naturalgas_ctavgcf_31,landbasedwind_ltrg1_32,landbasedwind_ltrg1_33,landbasedwind_ltrg1_34,offshorewind_otrg3_35,offshorewind_otrg3_36,offshorewind_otrg3_37,utilitypv_losangeles_38,utilitypv_losangeles_39,battery_40,naturalgas_ccs100_41,naturalgas_ccccsavgcf_42,naturalgas_ccavgcf_43,naturalgas_ctavgcf_44,landbasedwind_ltrg1_45,landbasedwind_ltrg1_46,landbasedwind_ltrg1_47,landbasedwind_ltrg1_48,landbasedwind_ltrg1_49,landbasedwind_ltrg1_50,landbasedwind_ltrg1_51,utilitypv_losangeles_52,utilitypv_losangeles_53,battery_54,naturalgas_ccs100_55
1524,0.3035,1,0.168350404,1,1,1,1,1,0.1723,1,0.6977,1,1,1,0.316,0.7896,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0.0486,0.0859,0.0707,0.9999,0.821,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1
1525,0.2427,1,0.168911051,1,1,1,1,1,0.2348,1,0.6658,1,1,1,0.2487,0.7662,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0.0494,0.0963,0.0882,0.9989,0.796,1,1,1,1,1,1,1,1,1,1,1,1,0.9988,0.9996,1,1
1526,0.2024,1,0.169471698,1,1,1,1,1,0.2682,1,0.6415,1,1,1,0.2929,0.7431,1,1,1,1,1,1,1.0,1.0,0.9999,0.9996,1,1,1,1,1,1,1,1,0.0904,0.133,0.1251,0.9649,0.7761,1,1,1,1,1,1,1,1,1,1,1,1,0.9753,0.9774,1,1
1527,0.2784,1,0.170032345,1,1,1,1,1,0.3184,1,0.5437,1,1,1,0.3483,0.6572,1,1,1,1,1,1,0.9246,0.922,0.9196,0.9327,1,1,1,1,1,1,1,1,0.2135,0.2467,0.2378,0.8267,0.6508,1,1,1,1,1,1,1,1,1,1,1,1,0.8641,0.8659,1,1
1528,0.3009,1,0.170592992,1,1,1,1,1,0.4288,1,0.364,1,1,1,0.4401,0.4922,1,1,1,1,1,1,0.7077,0.7083,0.7052,0.7137,1,1,1,1,1,1,1,1,0.3206,0.3489,0.336,0.5835,0.4563,1,1,1,1,1,1,1,1,1,1,1,1,0.6509,0.6556,1,1
1529,0.3078,1,0.171153639,1,1,1,1,1,0.4241,1,0.1031,1,1,1,0.4455,0.2317,1,1,1,1,1,1,0.359,0.3589,0.3578,0.3706,1,1,1,1,1,1,1,1,0.3788,0.4157,0.4026,0.2164,0.1507,1,1,1,1,1,1,1,1,1,1,1,1,0.3152,0.3224,1,1
1530,0.4608,1,0.171714286,1,1,1,1,1,0.4006,1,0.0,1,1,1,0.4125,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.4342,0.4685,0.4248,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1531,0.4585,1,0.172274933,1,1,1,1,1,0.4806,1,0.0,1,1,1,0.5186,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.7509,0.8492,0.7937,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1532,0.467,1,0.17283558,1,1,1,1,1,0.4583,1,0.0,1,1,1,0.4871,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.8433,0.7432,0.7739,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1533,0.5194,1,0.173396227,1,1,1,1,1,0.3898,1,0.0,1,1,1,0.6029,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.8548,0.6117,0.7795,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1534,0.5314,1,0.173956874,1,1,1,1,1,0.3831,1,0.0,1,1,1,0.6556,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.6451,0.6149,0.6079,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1535,0.4434,1,0.17451752,1,1,1,1,1,0.2531,1,0.0,1,1,1,0.5057,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.6501,0.8312,0.6803,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1536,0.4303,1,0.175078167,1,1,1,1,1,0.1709,1,0.0,1,1,1,0.4066,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.5287,0.7913,0.632,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1537,0.4055,1,0.175638814,1,1,1,1,1,0.1294,1,0.0,1,1,1,0.3642,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.4874,0.6707,0.5923,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1538,0.3979,1,0.176199461,1,1,1,1,1,0.0932,1,0.0,1,1,1,0.2711,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.3923,0.4365,0.4145,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1539,0.357,1,0.176760108,1,1,1,1,1,0.1035,1,0.0,1,1,1,0.1569,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.3078,0.2715,0.2754,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1540,0.3834,1,0.177320755,1,1,1,1,1,0.1189,1,0.0,1,1,1,0.1696,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.2466,0.168,0.2021,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1541,0.3728,1,0.177881402,1,1,1,1,1,0.1794,1,0.0,1,1,1,0.1556,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.2833,0.255,0.2723,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1542,0.4282,1,0.178442049,1,1,1,1,1,0.192,1,0.0,1,1,1,0.1777,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.3907,0.5171,0.4888,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1543,0.3936,1,0.179002696,1,1,1,1,1,0.119,1,0.0567,1,1,1,0.2263,0.0155,1,1,1,1,1,1,0.0841,0.1008,0.1057,0.2344,1,1,1,1,1,1,1,1,0.457,0.484,0.4991,0.1788,0.116,1,1,1,1,1,1,1,1,1,1,1,1,0.0273,0.1934,1,1
1544,0.4065,1,0.179563343,1,1,1,1,1,0.1371,1,0.1611,1,1,1,0.2648,0.1503,1,1,1,1,1,1,0.228,0.2735,0.3039,0.4865,1,1,1,1,1,1,1,1,0.488,0.4592,0.4834,0.4244,0.4764,1,1,1,1,1,1,1,1,1,1,1,1,0.2475,0.3209,1,1
1545,0.409,1,0.18012399,1,1,1,1,1,0.1148,1,0.3483,1,1,1,0.1952,0.2987,1,1,1,1,1,1,0.3321,0.4128,0.4812,0.5685,1,1,1,1,1,1,1,1,0.4116,0.3109,0.3425,0.5413,0.6078,1,1,1,1,1,1,1,1,1,1,1,1,0.3876,0.486,1,1
1546,0.4297,1,0.180684637,1,1,1,1,1,0.1824,1,0.4457,1,1,1,0.161,0.4288,1,1,1,1,1,1,0.4602,0.4938,0.5805,0.6037,1,1,1,1,1,1,1,1,0.6291,0.558,0.5578,0.5608,0.6617,1,1,1,1,1,1,1,1,1,1,1,1,0.4882,0.5877,1,1
1547,0.3679,1,0.181245284,1,1,1,1,1,0.1884,1,0.4982,1,1,1,0.1697,0.5235,1,1,1,1,1,1,0.5468,0.5505,0.5653,0.6241,1,1,1,1,1,1,1,1,0.6332,0.5714,0.5623,0.6487,0.702,1,1,1,1,1,1,1,1,1,1,1,1,0.5524,0.6062,1,1
1548,0.2482,1,0.181805931,1,1,1,1,1,0.2358,1,0.5277,1,1,1,0.1896,0.484,1,1,1,1,1,1,0.5719,0.5647,0.6104,0.641,1,1,1,1,1,1,1,1,0.7746,0.6945,0.7205,0.7202,0.6457,1,1,1,1,1,1,1,1,1,1,1,1,0.5394,0.5568,1,1
1549,0.2475,1,0.182366578,1,1,1,1,1,0.2818,1,0.5059,1,1,1,0.2226,0.476,1,1,1,1,1,1,0.6007,0.5781,0.6235,0.704,1,1,1,1,1,1,1,1,0.7463,0.6211,0.6911,0.7465,0.5386,1,1,1,1,1,1,1,1,1,1,1,1,0.5265,0.621,1,1
1550,0.2692,1,0.182927225,1,1,1,1,1,0.3191,1,0.4667,1,1,1,0.2949,0.4657,1,1,1,1,1,1,0.5486,0.5409,0.5507,0.6577,1,1,1,1,1,1,1,1,0.783,0.811,0.7508,0.7178,0.482,1,1,1,1,1,1,1,1,1,1,1,1,0.4659,0.6096,1,1
1551,0.3539,1,0.183487872,1,1,1,1,1,0.2407,1,0.4134,1,1,1,0.2998,0.4486,1,1,1,1,1,1,0.4246,0.4286,0.4323,0.5701,1,1,1,1,1,1,1,1,0.5175,0.6384,0.448,0.6645,0.4555,1,1,1,1,1,1,1,1,1,1,1,1,0.404,0.5192,1,1
1552,0.3414,1,0.184048519,1,1,1,1,1,0.2444,1,0.2566,1,1,1,0.2721,0.2698,1,1,1,1,1,1,0.1765,0.2036,0.2617,0.4662,1,1,1,1,1,1,1,1,0.4621,0.4353,0.354,0.4285,0.32,1,1,1,1,1,1,1,1,1,1,1,1,0.2208,0.4133,1,1
1553,0.2639,1,0.184609166,1,1,1,1,1,0.327,1,0.0116,1,1,1,0.2598,0.0978,1,1,1,1,1,1,0.0052,0.0257,0.0582,0.1812,1,1,1,1,1,1,1,1,0.5693,0.4489,0.433,0.0513,0.0071,1,1,1,1,1,1,1,1,1,1,1,1,0.0634,0.0608,1,1
1554,0.2519,1,0.185169813,1,1,1,1,1,0.3723,1,0.0,1,1,1,0.3184,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.6058,0.4658,0.4806,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1555,0.2364,1,0.18573046,1,1,1,1,1,0.4201,1,0.0,1,1,1,0.3301,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.6664,0.5243,0.5769,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1556,0.2844,1,0.186291107,1,1,1,1,1,0.3492,1,0.0,1,1,1,0.4806,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.5618,0.5033,0.4657,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1557,0.3666,1,0.186851754,1,1,1,1,1,0.2782,1,0.0,1,1,1,0.6042,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.4612,0.5846,0.5023,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1558,0.4777,1,0.187412401,1,1,1,1,1,0.2795,1,0.0,1,1,1,0.5641,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.4591,0.589,0.5486,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1559,0.4423,1,0.187973048,1,1,1,1,1,0.2859,1,0.0,1,1,1,0.5243,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.6985,0.9069,0.857,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1560,0.4983,1,0.188533695,1,1,1,1,1,0.2907,1,0.0,1,1,1,0.5237,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.9278,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1561,0.5473,1,0.189094342,1,1,1,1,1,0.2699,1,0.0,1,1,1,0.5215,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1562,0.5312,1,0.189654989,1,1,1,1,1,0.2642,1,0.0,1,1,1,0.617,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1563,0.5518,1,0.190215636,1,1,1,1,1,0.3258,1,0.0,1,1,1,0.7133,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1564,0.6477,1,0.190776283,1,1,1,1,1,0.3028,1,0.0,1,1,1,0.759,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1565,0.6199,1,0.19133693,1,1,1,1,1,0.3954,1,0.0,1,1,1,0.7978,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1566,0.6868,1,0.191897577,1,1,1,1,1,0.3328,1,0.0,1,1,1,0.8374,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.9799,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1567,0.7882,1,0.192458224,1,1,1,1,1,0.3247,1,0.0469,1,1,1,0.7718,0.1583,1,1,1,1,1,1,0.0954,0.0952,0.1082,0.1302,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.1779,0.0573,1,1,1,1,1,1,1,1,1,1,1,1,0.0933,0.0695,1,1
1568,0.8201,1,0.193018871,1,1,1,1,1,0.4716,1,0.2087,1,1,1,0.749,0.3164,1,1,1,1,1,1,0.4275,0.4073,0.3973,0.4211,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.4326,0.283,1,1,1,1,1,1,1,1,1,1,1,1,0.3708,0.3218,1,1
1569,0.8241,1,0.193579518,1,1,1,1,1,0.6599,1,0.3606,1,1,1,0.7372,0.4072,1,1,1,1,1,1,0.7212,0.6621,0.6347,0.6863,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.5704,0.4704,1,1,1,1,1,1,1,1,1,1,1,1,0.5332,0.3798,1,1
1570,0.8578,1,0.194140165,1,1,1,1,1,0.6743,1,0.4421,1,1,1,0.7538,0.3333,1,1,1,1,1,1,0.8248,0.8137,0.7959,0.7906,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.5773,0.5924,1,1,1,1,1,1,1,1,1,1,1,1,0.6231,0.5193,1,1
1571,0.8576,1,0.194700812,1,1,1,1,1,0.7099,1,0.4539,1,1,1,0.8087,0.378,1,1,1,1,1,1,0.9017,0.8845,0.876,0.8844,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.5319,0.7224,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.601,1,1
1572,0.8545,1,0.195261459,1,1,1,1,1,0.6995,1,0.4945,1,1,1,0.8033,0.735,1,1,1,1,1,1,0.9386,0.9361,0.911,0.9321,1,1,1,1,1,1,1,1,0.9515,1.0,1.0,0.4959,0.7507,1,1,1,1,1,1,1,1,1,1,1,1,0.8179,0.7,1,1
1573,0.8559,1,0.195822106,1,1,1,1,1,0.7369,1,0.4698,1,1,1,0.8253,0.7246,1,1,1,1,1,1,0.9365,0.9359,0.9447,0.9171,1,1,1,1,1,1,1,1,0.8667,1.0,1.0,0.5406,0.7515,1,1,1,1,1,1,1,1,1,1,1,1,0.8438,0.7744,1,1
1574,0.8496,1,0.196382753,1,1,1,1,1,0.7047,1,0.4775,1,1,1,0.8073,0.7163,1,1,1,1,1,1,0.9046,0.9201,0.9094,0.8849,1,1,1,1,1,1,1,1,0.8491,0.9731,0.9411,0.5561,0.6896,1,1,1,1,1,1,1,1,1,1,1,1,0.8407,0.807,1,1
1575,0.8446,1,0.1969434,1,1,1,1,1,0.7767,1,0.3499,1,1,1,0.8227,0.5589,1,1,1,1,1,1,0.7991,0.8097,0.8201,0.793,1,1,1,1,1,1,1,1,1.0,1.0,0.9984,0.5572,0.4653,1,1,1,1,1,1,1,1,1,1,1,1,0.7413,0.7179,1,1
1576,0.8498,1,0.197504047,1,1,1,1,1,0.7988,1,0.1848,1,1,1,0.8457,0.4171,1,1,1,1,1,1,0.5706,0.5746,0.5985,0.616,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.3627,0.1994,1,1,1,1,1,1,1,1,1,1,1,1,0.5103,0.547,1,1
1577,0.8488,1,0.198064694,1,1,1,1,1,0.7586,1,0.0213,1,1,1,0.8304,0.0973,1,1,1,1,1,1,0.386,0.3816,0.3786,0.3598,1,1,1,1,1,1,1,1,0.8941,1.0,1.0,0.1937,0.0555,1,1,1,1,1,1,1,1,1,1,1,1,0.2371,0.3008,1,1
1578,0.3334,1,0.198625341,1,1,1,1,1,0.254,1,0.0,1,1,1,0.3227,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.9857,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
1579,0.4889,1,0.199185988,1,1,1,1,1,0.1886,1,0.0,1,1,1,0.3724,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
