slot,cluster
1,8
2,14
3,9
4,8
5,7
6,8
7,15
8,10
9,13
10,13
11,1
12,3
13,3
14,3
15,1
16,11
17,1
18,3
19,15
20,2
21,1
22,6
23,5
24,3
25,3
26,16
27,3
28,5
29,6
30,6
31,6
32,5
33,6
34,2
35,5
36,6
37,6
38,2
39,6
40,2
41,7
42,6
43,11
44,2
45,7
46,4
47,15
48,15
49,15
50,12
51,14
52,8
