,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z4,ev_load_shifting_z5,ev_load_shifting_z6
1049,0.647,0.386,0.483,0.403,0.493,0.585
1050,0.683,0.405,0.526,0.451,0.52,0.638
1051,0.721,0.46,0.552,0.477,0.578,0.621
1052,0.699,0.476,0.542,0.473,0.559,0.634
1053,0.699,0.478,0.532,0.457,0.558,0.562
1054,0.619,0.452,0.424,0.381,0.493,0.423
1055,0.492,0.37,0.345,0.299,0.399,0.308
1056,0.367,0.285,0.264,0.216,0.292,0.231
1057,0.285,0.207,0.204,0.156,0.223,0.166
1058,0.22,0.148,0.159,0.115,0.169,0.14
1059,0.191,0.111,0.143,0.101,0.144,0.139
1060,0.19,0.1,0.145,0.106,0.14,0.15
1061,0.206,0.106,0.165,0.141,0.149,0.195
1062,0.274,0.137,0.287,0.26,0.2,0.439
1063,0.589,0.286,0.471,0.428,0.41,0.59
1064,0.774,0.452,0.541,0.463,0.566,0.528
1065,0.684,0.46,0.47,0.394,0.514,0.438
1066,0.568,0.384,0.409,0.346,0.437,0.437
1067,0.557,0.345,0.433,0.374,0.445,0.498
1068,0.603,0.384,0.458,0.391,0.49,0.483
1069,0.578,0.389,0.442,0.38,0.475,0.487
1070,0.575,0.38,0.435,0.372,0.477,0.472
1071,0.555,0.37,0.429,0.369,0.465,0.499
1072,0.573,0.37,0.453,0.389,0.481,0.551
1073,0.633,0.396,0.47,0.406,0.523,0.565
1074,0.652,0.407,0.51,0.449,0.533,0.618
1075,0.694,0.457,0.532,0.473,0.584,0.598
1076,0.666,0.472,0.523,0.469,0.561,0.608
1077,0.664,0.474,0.521,0.455,0.556,0.553
1078,0.602,0.45,0.436,0.387,0.497,0.44
1079,0.496,0.38,0.357,0.311,0.414,0.319
1080,0.373,0.295,0.27,0.228,0.311,0.244
1081,0.285,0.219,0.208,0.167,0.243,0.176
1082,0.221,0.158,0.162,0.124,0.186,0.147
1083,0.191,0.119,0.145,0.109,0.159,0.146
1084,0.19,0.108,0.147,0.113,0.156,0.158
1085,0.205,0.112,0.167,0.146,0.164,0.203
1086,0.275,0.143,0.282,0.267,0.221,0.446
1087,0.58,0.292,0.467,0.44,0.438,0.604
1088,0.766,0.465,0.542,0.475,0.591,0.537
1089,0.672,0.47,0.47,0.405,0.527,0.443
1090,0.555,0.392,0.409,0.358,0.449,0.447
1091,0.54,0.358,0.431,0.384,0.465,0.501
1092,0.579,0.392,0.453,0.4,0.507,0.482
1093,0.555,0.397,0.438,0.387,0.492,0.483
1094,0.551,0.386,0.431,0.379,0.495,0.466
1095,0.53,0.376,0.422,0.376,0.483,0.501
1096,0.546,0.376,0.447,0.394,0.499,0.554
1097,0.605,0.403,0.464,0.409,0.538,0.573
1098,0.635,0.408,0.507,0.447,0.534,0.622
1099,0.695,0.455,0.535,0.47,0.584,0.607
1100,0.675,0.468,0.528,0.467,0.562,0.621
1101,0.676,0.471,0.521,0.453,0.559,0.559
1102,0.618,0.449,0.452,0.392,0.497,0.466
1103,0.507,0.387,0.379,0.321,0.419,0.347
1104,0.381,0.306,0.281,0.237,0.316,0.256
1105,0.297,0.226,0.216,0.175,0.251,0.183
1106,0.23,0.165,0.169,0.13,0.196,0.154
1107,0.201,0.125,0.151,0.114,0.169,0.153
1108,0.2,0.112,0.153,0.118,0.166,0.164
1109,0.218,0.117,0.173,0.155,0.175,0.21
1110,0.29,0.151,0.295,0.274,0.234,0.463
1111,0.623,0.3,0.481,0.446,0.448,0.627
1112,0.807,0.471,0.548,0.48,0.596,0.557
1113,0.697,0.474,0.464,0.407,0.533,0.454
1114,0.568,0.395,0.398,0.363,0.456,0.453
1115,0.546,0.362,0.419,0.385,0.472,0.508
1116,0.586,0.394,0.44,0.401,0.511,0.491
1117,0.559,0.398,0.425,0.389,0.496,0.495
1118,0.552,0.389,0.417,0.381,0.499,0.475
1119,0.532,0.378,0.395,0.376,0.488,0.496
1120,0.545,0.377,0.428,0.394,0.504,0.55
1121,0.606,0.403,0.46,0.405,0.544,0.585
1122,0.636,0.405,0.502,0.445,0.535,0.634
1123,0.693,0.454,0.533,0.471,0.586,0.616
1124,0.675,0.47,0.529,0.468,0.564,0.627
1125,0.677,0.473,0.532,0.454,0.559,0.572
1126,0.624,0.45,0.436,0.392,0.496,0.443
1127,0.499,0.385,0.36,0.315,0.418,0.322
1128,0.373,0.302,0.275,0.23,0.316,0.233
1129,0.291,0.219,0.212,0.169,0.251,0.168
1130,0.226,0.16,0.166,0.126,0.197,0.141
1131,0.197,0.121,0.149,0.11,0.172,0.14
1132,0.197,0.109,0.151,0.114,0.171,0.151
1133,0.214,0.114,0.172,0.15,0.181,0.195
1134,0.284,0.147,0.293,0.268,0.241,0.446
1135,0.607,0.294,0.48,0.429,0.461,0.599
1136,0.794,0.454,0.549,0.464,0.601,0.537
1137,0.692,0.458,0.466,0.395,0.533,0.441
1138,0.566,0.383,0.397,0.349,0.452,0.431
1139,0.547,0.348,0.416,0.371,0.467,0.485
1140,0.591,0.379,0.438,0.387,0.506,0.466
1141,0.568,0.384,0.422,0.374,0.489,0.467
1142,0.565,0.374,0.415,0.367,0.491,0.448
1143,0.548,0.364,0.405,0.363,0.479,0.467
1144,0.568,0.363,0.425,0.383,0.492,0.517
1145,0.628,0.389,0.446,0.395,0.528,0.545
1146,0.646,0.395,0.485,0.433,0.524,0.594
1147,0.684,0.442,0.512,0.457,0.571,0.576
1148,0.655,0.455,0.505,0.455,0.547,0.585
1149,0.654,0.459,0.509,0.444,0.544,0.542
1150,0.604,0.441,0.424,0.381,0.486,0.403
1151,0.49,0.374,0.349,0.31,0.412,0.292
1152,0.376,0.294,0.283,0.251,0.32,0.309
1153,0.355,0.254,0.261,0.218,0.307,0.214
1154,0.256,0.206,0.184,0.142,0.22,0.131
