Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,108,16029,24463,13809,26583,25120,16626
,,,,,,,,109,17837,28269,14153,28064,25409,17001
,,,,,,,,110,20099,31350,14417,29682,25557,17384
,,,,,,,,111,22351,33626,14506,30825,25698,17459
,,,,,,,,112,24413,35147,14475,31489,25745,17269
,,,,,,,,113,25157,35332,14274,31370,25728,16847
,,,,,,,,114,24546,34447,13965,30356,25351,16387
,,,,,,,,115,23704,33266,13761,30074,25009,16232
,,,,,,,,116,23315,32721,13576,29388,25066,16157
,,,,,,,,117,23241,32617,12989,27916,24697,15480
,,,,,,,,118,21865,30684,12125,25870,23184,14377
,,,,,,,,119,19748,27713,11284,23902,21229,13658
,,,,,,,,120,17847,25045,10632,22590,19591,13146
,,,,,,,,121,16452,23088,10215,21491,18343,12740
,,,,,,,,122,15787,22155,9956,20822,17724,12431
,,,,,,,,123,15196,21325,9863,20524,17461,12255
,,,,,,,,124,14872,20860,9986,20663,17552,12251
,,,,,,,,125,14155,19970,10471,21293,18400,12740
,,,,,,,,126,12914,19034,11018,20983,19873,13100
,,,,,,,,127,12126,18575,11510,20798,21378,13299
,,,,,,,,128,11704,18423,11934,21266,22531,13676
,,,,,,,,129,11975,18596,12293,21902,23327,14034
,,,,,,,,130,12728,20493,12577,22697,23667,14646
,,,,,,,,131,13483,22189,12985,24191,24046,15107
,,,,,,,,132,14670,23033,13289,25847,24311,15510
,,,,,,,,133,16104,25788,13546,27447,24454,15765
,,,,,,,,134,17970,28291,13694,28981,24536,16159
,,,,,,,,135,20133,30598,13636,30346,24462,16394
,,,,,,,,136,22268,32358,13445,31261,24323,16319
,,,,,,,,137,23289,32712,13316,31435,24113,15965
,,,,,,,,138,22692,31846,13000,30227,23587,15599
,,,,,,,,139,21779,30563,12757,29807,23004,15453
,,,,,,,,140,21337,29944,12606,29089,23053,15371
,,,,,,,,141,21191,29739,12158,27833,22598,14843
,,,,,,,,142,20007,28077,11496,26135,21336,13996
,,,,,,,,143,18417,25846,10828,24444,19801,13219
,,,,,,,,144,16825,23612,10344,23382,18324,12724
,,,,,,,,145,15811,22189,9942,22266,18175,12342
,,,,,,,,146,15050,21120,9717,21463,17565,12054
,,,,,,,,147,14366,20161,9482,20886,17190,11732
,,,,,,,,148,14093,19777,9447,20678,17110,11662
,,,,,,,,149,13280,18773,9530,20506,17370,11782
,,,,,,,,150,11579,17077,9622,19830,17798,11697
,,,,,,,,151,10103,15209,9910,19629,18549,11860
,,,,,,,,152,9847,14208,10512,20234,19793,12428
,,,,,,,,153,10244,13768,11064,21574,20930,12997
,,,,,,,,154,10891,15418,11492,23403,21735,13627
,,,,,,,,155,12377,17315,11783,25095,21963,14115
,,,,,,,,156,14236,19475,12032,26551,22086,14616
,,,,,,,,157,15273,21570,12188,28272,22048,14942
,,,,,,,,158,16992,23766,12288,29878,21949,14944
,,,,,,,,159,18613,25886,12431,31087,21954,14786
,,,,,,,,160,19715,27863,12569,31858,22121,14942
,,,,,,,,161,20494,28774,12445,31937,22251,14746
,,,,,,,,162,20398,28625,12216,30726,22203,14668
,,,,,,,,163,19829,27827,12003,30179,21970,14578
,,,,,,,,164,19567,27459,11902,29233,22166,14567
,,,,,,,,165,19564,27455,11467,27792,21969,14129
,,,,,,,,166,18593,26092,10713,26071,20803,13474
,,,,,,,,167,17184,24116,10165,24424,19470,12791
,,,,,,,,168,15932,22358,9679,23096,18348,12363
,,,,,,,,169,12211,17136,9794,16698,20778,12526
,,,,,,,,170,11704,16425,9688,16418,20247,12654
,,,,,,,,171,11378,15967,9634,16303,20068,12718
,,,,,,,,172,11229,15758,9708,16360,20116,12751
,,,,,,,,173,11265,15695,9911,16749,20549,12889
,,,,,,,,174,11297,13235,10300,16715,21490,13056
,,,,,,,,175,10790,10374,10755,15739,22772,13037
,,,,,,,,176,9631,8502,11223,15051,24250,13250
,,,,,,,,177,8259,8193,11550,14521,25418,13217
