slot,cluster
1,6
2,3
3,7
4,6
5,2
6,6
7,5
8,4
9,4
10,4
11,4
12,7
13,3
14,7
15,2
16,7
17,4
18,7
19,5
20,1
21,4
22,3
23,1
24,7
25,3
26,8
27,3
28,1
29,3
30,3
31,3
32,1
33,3
34,1
35,1
36,3
37,3
38,1
39,3
40,3
41,2
42,3
43,7
44,2
45,2
46,5
47,5
48,5
49,5
50,7
51,4
52,6
