Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,74,15887.0,24804.0,17422.0,23872.0,31216.0,14639.0
,,,,,,,,75,15548.0,24281.0,17369.0,23671.0,31058.0,15171.0
,,,,,,,,76,15675.0,24480.0,17791.0,24176.0,32119.0,15407.0
,,,,,,,,77,16100.0,25145.0,18945.0,25892.0,33936.0,17073.0
,,,,,,,,78,17808.0,27811.0,21961.0,28937.0,39117.0,19743.0
,,,,,,,,79,20201.0,31561.0,24848.0,31479.0,47652.0,22005.0
,,,,,,,,80,22168.0,34627.0,25752.0,32556.0,51767.0,22481.0
,,,,,,,,81,22076.0,34475.0,24756.0,32429.0,49010.0,21851.0
,,,,,,,,82,21612.0,33736.0,23943.0,32293.0,44736.0,22413.0
,,,,,,,,83,21933.0,34234.0,24021.0,33191.0,43854.0,23222.0
,,,,,,,,84,22462.0,35053.0,24359.0,33987.0,43511.0,24441.0
,,,,,,,,85,22834.0,35634.0,24707.0,34478.0,43626.0,24599.0
,,,,,,,,86,22850.0,35657.0,24565.0,34553.0,42848.0,25556.0
,,,,,,,,87,21048.0,32825.0,25368.0,35378.0,43178.0,28614.0
,,,,,,,,88,22524.0,35137.0,27675.0,39684.0,46861.0,32302.0
,,,,,,,,89,24657.0,38478.0,30392.0,43536.0,52747.0,35284.0
,,,,,,,,90,27149.0,42386.0,32236.0,45344.0,58498.0,31556.0
,,,,,,,,91,25340.0,39547.0,29241.0,41110.0,55106.0,24617.0
,,,,,,,,92,22257.0,34732.0,24900.0,35535.0,45965.0,22534.0
,,,,,,,,93,20749.0,32382.0,22306.0,32935.0,42825.0,19995.0
,,,,,,,,94,18049.0,28162.0,20033.0,29815.0,37879.0,17614.0
,,,,,,,,95,14823.0,23117.0,18089.0,27102.0,33727.0,15996.0
,,,,,,,,96,13711.0,21380.0,17283.0,25366.0,31271.0,15524.0
,,,,,,,,97,14994.0,23396.0,17182.0,25235.0,30044.0,15679.0
,,,,,,,,98,16118.0,25164.0,17116.0,25141.0,29644.0,15567.0
,,,,,,,,99,15548.0,24280.0,16965.0,25077.0,29250.0,16099.0
,,,,,,,,100,15661.0,24458.0,17434.0,25844.0,30227.0,16328.0
,,,,,,,,101,16097.0,25137.0,18553.0,27844.0,31938.0,17977.0
,,,,,,,,102,17686.0,27620.0,21412.0,31109.0,37028.0,20529.0
,,,,,,,,103,20010.0,31260.0,24003.0,33250.0,45478.0,22397.0
,,,,,,,,104,21729.0,33938.0,24734.0,33522.0,49422.0,22500.0
,,,,,,,,105,21644.0,33791.0,23794.0,32828.0,46991.0,21698.0
,,,,,,,,106,21340.0,33300.0,22879.0,32214.0,43240.0,21603.0
,,,,,,,,107,21792.0,34002.0,22853.0,32847.0,42091.0,22195.0
,,,,,,,,108,22510.0,35118.0,23241.0,33687.0,41950.0,22980.0
,,,,,,,,109,22989.0,35866.0,23432.0,34213.0,41795.0,23054.0
,,,,,,,,110,23169.0,36145.0,23357.0,34346.0,40849.0,23683.0
,,,,,,,,111,21561.0,33619.0,23991.0,34847.0,41144.0,26174.0
,,,,,,,,112,21485.0,33497.0,26351.0,38471.0,44537.0,29530.0
,,,,,,,,113,24775.0,38653.0,28844.0,41926.0,49476.0,31952.0
,,,,,,,,114,26440.0,41269.0,30409.0,43954.0,54486.0,28540.0
,,,,,,,,115,23801.0,37135.0,27420.0,39604.0,50875.0,23104.0
,,,,,,,,116,21266.0,33179.0,23413.0,34411.0,42402.0,21138.0
,,,,,,,,117,18277.0,28508.0,21033.0,31793.0,39260.0,18346.0
,,,,,,,,118,16756.0,26138.0,18838.0,28453.0,34803.0,16051.0
,,,,,,,,119,14493.0,22601.0,16942.0,25522.0,30410.0,15182.0
,,,,,,,,120,12765.0,19897.0,16292.0,24622.0,28091.0,15035.0
,,,,,,,,121,14576.0,22735.0,16090.0,24502.0,26793.0,15273.0
,,,,,,,,122,15488.0,24169.0,16053.0,24380.0,26559.0,15191.0
,,,,,,,,123,15022.0,23449.0,15922.0,24301.0,26105.0,15799.0
,,,,,,,,124,15073.0,23528.0,16271.0,25003.0,26954.0,15973.0
,,,,,,,,125,15298.0,23879.0,17254.0,26877.0,28448.0,17502.0
,,,,,,,,126,16661.0,26007.0,19717.0,29915.0,32864.0,19767.0
,,,,,,,,127,18900.0,29514.0,22098.0,31986.0,40617.0,21400.0
,,,,,,,,128,20888.0,32615.0,22980.0,32542.0,44887.0,21455.0
,,,,,,,,129,21165.0,33035.0,22358.0,32204.0,43358.0,20633.0
,,,,,,,,130,21158.0,33009.0,21693.0,31790.0,40508.0,20738.0
,,,,,,,,131,21905.0,34172.0,21878.0,32737.0,40557.0,21328.0
,,,,,,,,132,22859.0,35659.0,22239.0,33544.0,41108.0,22158.0
,,,,,,,,133,23581.0,36787.0,22562.0,34388.0,41367.0,22025.0
,,,,,,,,134,23853.0,37212.0,22537.0,34460.0,40876.0,22507.0
,,,,,,,,135,22308.0,34784.0,22988.0,35130.0,41682.0,24475.0
,,,,,,,,136,22292.0,34754.0,24975.0,39673.0,45110.0,27568.0
,,,,,,,,137,25420.0,39659.0,27438.0,43004.0,50762.0,30113.0
,,,,,,,,138,25520.0,39823.0,28742.0,44295.0,55643.0,26712.0
,,,,,,,,139,24806.0,38714.0,25872.0,39638.0,51098.0,21240.0
,,,,,,,,140,19630.0,30620.0,21665.0,34284.0,41454.0,19640.0
,,,,,,,,141,19147.0,29878.0,19568.0,31540.0,37879.0,17226.0
,,,,,,,,142,15717.0,24513.0,17779.0,28710.0,33545.0,15246.0
,,,,,,,,143,13636.0,21259.0,16121.0,25982.0,29421.0,14562.0
,,,,,,,,144,12920.0,20136.0,16012.0,25441.0,27555.0,16517.0
,,,,,,,,145,15695.0,24439.0,17219.0,25947.0,29230.0,15756.0
,,,,,,,,146,16103.0,25084.0,16447.0,25101.0,27167.0,15944.0
,,,,,,,,147,15755.0,24536.0,16450.0,24897.0,26860.0,16027.0
,,,,,,,,148,15405.0,23994.0,16396.0,24791.0,26756.0,15860.0
,,,,,,,,149,15290.0,23811.0,16742.0,25422.0,26946.0,16757.0
