slot,cluster
1,2
2,7
3,5
4,7
5,2
6,2
7,2
8,4
9,3
10,4
11,4
12,1
13,1
14,1
15,4
16,1
17,4
18,1
19,1
20,6
21,4
22,1
23,6
24,1
25,6
26,8
27,1
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,2
40,1
41,2
42,2
43,5
44,2
45,4
46,5
47,2
48,2
49,2
50,5
51,7
52,5
