Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,8.0,168.0,1680.0,1,0.0,37152.0,2883.0
,2.0,0.067,0.075,603.0,,,1848.0,2,0.0,37515.0,2876.0
,,,,,,,168.0,3,0.0,39994.0,2946.0
,,,,,,,1176.0,4,0.0,44454.0,3142.0
,,,,,,,840.0,5,0.0,46150.0,3235.0
,,,,,,,2352.0,6,0.0,47230.0,3313.0
,,,,,,,504.0,7,0.0,49075.0,3427.0
,,,,,,,168.0,8,0.0,51344.0,3554.0
,,,,,,,,9,0.0,53442.0,3698.0
,,,,,,,,10,0.0,55110.0,3822.0
,,,,,,,,11,0.0,56531.0,3987.0
,,,,,,,,12,0.0,57894.0,4137.0
,,,,,,,,13,0.0,59449.0,4264.0
,,,,,,,,14,0.0,60506.0,4338.0
,,,,,,,,15,0.0,60320.0,4265.0
,,,,,,,,16,0.0,58726.0,4140.0
,,,,,,,,17,0.0,56953.0,4002.0
,,,,,,,,18,0.0,57436.0,3947.0
,,,,,,,,19,0.0,55484.0,3865.0
,,,,,,,,20,0.0,51075.0,3637.0
,,,,,,,,21,0.0,45884.0,3358.0
,,,,,,,,22,0.0,41855.0,3174.0
,,,,,,,,23,0.0,39429.0,3038.0
,,,,,,,,24,0.0,37755.0,2957.0
,,,,,,,,25,0.0,36928.0,2911.0
,,,,,,,,26,0.0,37116.0,2901.0
,,,,,,,,27,0.0,39400.0,2968.0
,,,,,,,,28,0.0,43894.0,3146.0
,,,,,,,,29,0.0,45361.0,3231.0
,,,,,,,,30,0.0,46318.0,3307.0
,,,,,,,,31,0.0,48160.0,3365.0
,,,,,,,,32,0.0,50541.0,3473.0
,,,,,,,,33,0.0,53110.0,3635.0
,,,,,,,,34,0.0,55586.0,3785.0
,,,,,,,,35,0.0,58011.0,3957.0
,,,,,,,,36,0.0,59664.0,4121.0
,,,,,,,,37,0.0,60818.0,4292.0
,,,,,,,,38,0.0,61557.0,4417.0
,,,,,,,,39,0.0,61203.0,4415.0
,,,,,,,,40,0.0,59842.0,4343.0
,,,,,,,,41,0.0,57793.0,4222.0
,,,,,,,,42,0.0,57935.0,4138.0
,,,,,,,,43,0.0,56120.0,4055.0
,,,,,,,,44,0.0,51383.0,3799.0
,,,,,,,,45,0.0,45817.0,3508.0
,,,,,,,,46,0.0,41758.0,3305.0
,,,,,,,,47,0.0,39112.0,3174.0
,,,,,,,,48,0.0,37587.0,3089.0
,,,,,,,,49,0.0,36711.0,3031.0
,,,,,,,,50,0.0,36829.0,3015.0
,,,,,,,,51,0.0,39083.0,3063.0
,,,,,,,,52,0.0,43461.0,3206.0
,,,,,,,,53,0.0,45001.0,3237.0
,,,,,,,,54,0.0,46166.0,3307.0
,,,,,,,,55,0.0,48635.0,3432.0
,,,,,,,,56,0.0,51073.0,3571.0
,,,,,,,,57,0.0,53038.0,3713.0
,,,,,,,,58,0.0,54958.0,3842.0
,,,,,,,,59,0.0,57177.0,4020.0
,,,,,,,,60,0.0,59326.0,4172.0
,,,,,,,,61,0.0,61476.0,4306.0
,,,,,,,,62,0.0,63355.0,4445.0
,,,,,,,,63,0.0,63775.0,4453.0
,,,,,,,,64,0.0,62638.0,4401.0
,,,,,,,,65,0.0,60365.0,4301.0
,,,,,,,,66,0.0,59935.0,4215.0
,,,,,,,,67,0.0,57731.0,4143.0
,,,,,,,,68,0.0,52683.0,3899.0
,,,,,,,,69,0.0,47074.0,3606.0
,,,,,,,,70,0.0,42774.0,3370.0
,,,,,,,,71,0.0,40005.0,3217.0
,,,,,,,,72,0.0,38189.0,3102.0
,,,,,,,,73,0.0,37167.0,3037.0
,,,,,,,,74,0.0,37210.0,3023.0
,,,,,,,,75,0.0,39460.0,3082.0
,,,,,,,,76,0.0,43756.0,3257.0
,,,,,,,,77,0.0,45514.0,3338.0
,,,,,,,,78,0.0,47227.0,3410.0
,,,,,,,,79,0.0,49973.0,3523.0
,,,,,,,,80,0.0,52940.0,3677.0
,,,,,,,,81,0.0,56157.0,3851.0
,,,,,,,,82,0.0,59506.0,4027.0
,,,,,,,,83,0.0,62882.0,4233.0
,,,,,,,,84,0.0,65761.0,4412.0
,,,,,,,,85,0.0,68009.0,4584.0
,,,,,,,,86,0.0,69438.0,4710.0
,,,,,,,,87,0.0,69062.0,4698.0
,,,,,,,,88,0.0,66605.0,4599.0
,,,,,,,,89,0.0,63318.0,4448.0
,,,,,,,,90,0.0,62673.0,4332.0
,,,,,,,,91,0.0,60134.0,4208.0
,,,,,,,,92,0.0,54868.0,3959.0
,,,,,,,,93,0.0,49032.0,3661.0
,,,,,,,,94,0.0,44659.0,3424.0
