Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,128,0.0,38526.0,2917.0
,,,,,,,,129,0.0,40009.0,2962.0
,,,,,,,,130,0.0,40860.0,2969.0
,,,,,,,,131,0.0,41380.0,2988.0
,,,,,,,,132,0.0,41679.0,3005.0
,,,,,,,,133,0.0,41977.0,3028.0
,,,,,,,,134,0.0,42136.0,3048.0
,,,,,,,,135,0.0,41999.0,3061.0
,,,,,,,,136,0.0,41254.0,3050.0
,,,,,,,,137,0.0,41358.0,3023.0
,,,,,,,,138,0.0,42383.0,3085.0
,,,,,,,,139,0.0,41233.0,3021.0
,,,,,,,,140,0.0,39263.0,2929.0
,,,,,,,,141,0.0,36734.0,2802.0
,,,,,,,,142,0.0,34228.0,2687.0
,,,,,,,,143,0.0,32417.0,2603.0
,,,,,,,,144,0.0,31184.0,2560.0
,,,,,,,,145,0.0,30419.0,2533.0
,,,,,,,,146,0.0,29909.0,2524.0
,,,,,,,,147,0.0,30134.0,2539.0
,,,,,,,,148,0.0,30879.0,2577.0
,,,,,,,,149,0.0,31894.0,2641.0
,,,,,,,,150,0.0,32954.0,2680.0
,,,,,,,,151,0.0,35020.0,2762.0
,,,,,,,,152,0.0,36795.0,2838.0
,,,,,,,,153,0.0,38224.0,2902.0
,,,,,,,,154,0.0,39523.0,2975.0
,,,,,,,,155,0.0,40245.0,3008.0
,,,,,,,,156,0.0,40666.0,3030.0
,,,,,,,,157,0.0,40885.0,3048.0
,,,,,,,,158,0.0,41010.0,3067.0
,,,,,,,,159,0.0,41173.0,3100.0
,,,,,,,,160,0.0,41177.0,3099.0
,,,,,,,,161,0.0,42424.0,3111.0
,,,,,,,,162,0.0,43895.0,3197.0
,,,,,,,,163,0.0,42835.0,3153.0
,,,,,,,,164,0.0,40258.0,3013.0
,,,,,,,,165,0.0,36795.0,2788.0
,,,,,,,,166,0.0,33990.0,2591.0
,,,,,,,,167,0.0,32192.0,2522.0
,,,,,,,,168,0.0,31195.0,2485.0
,,,,,,,,169,0.0,35173.0,2678.0
,,,,,,,,170,0.0,35687.0,2698.0
,,,,,,,,171,0.0,38253.0,2755.0
,,,,,,,,172,0.0,42679.0,2937.0
,,,,,,,,173,0.0,44654.0,3055.0
,,,,,,,,174,0.0,44600.0,3063.0
,,,,,,,,175,0.0,46737.0,3124.0
,,,,,,,,176,0.0,49500.0,3235.0
,,,,,,,,177,0.0,52091.0,3373.0
,,,,,,,,178,0.0,54394.0,3481.0
,,,,,,,,179,0.0,56100.0,3588.0
,,,,,,,,180,0.0,56676.0,3688.0
