,onshore_wind_turbine_1,biomass_2,conventional_hydroelectric_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combustion_turbine_6,natural_gas_steam_turbine_7,nuclear_8,onshore_wind_turbine_9,small_hydroelectric_10,solar_photovoltaic_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combustion_turbine_14,onshore_wind_turbine_15,solar_photovoltaic_16,naturalgas_ccccsavgcf_17,naturalgas_ccavgcf_18,naturalgas_ctavgcf_19,landbasedwind_ltrg1_20,landbasedwind_ltrg1_21,landbasedwind_ltrg1_22,utilitypv_losangeles_23,utilitypv_losangeles_24,utilitypv_losangeles_25,utilitypv_losangeles_26,battery_27,naturalgas_ccs100_28,naturalgas_ccccsavgcf_29,naturalgas_ccavgcf_30,naturalgas_ctavgcf_31,landbasedwind_ltrg1_32,landbasedwind_ltrg1_33,landbasedwind_ltrg1_34,offshorewind_otrg3_35,offshorewind_otrg3_36,offshorewind_otrg3_37,utilitypv_losangeles_38,utilitypv_losangeles_39,battery_40,naturalgas_ccs100_41,naturalgas_ccccsavgcf_42,naturalgas_ccavgcf_43,naturalgas_ctavgcf_44,landbasedwind_ltrg1_45,landbasedwind_ltrg1_46,landbasedwind_ltrg1_47,landbasedwind_ltrg1_48,landbasedwind_ltrg1_49,landbasedwind_ltrg1_50,landbasedwind_ltrg1_51,utilitypv_losangeles_52,utilitypv_losangeles_53,battery_54,naturalgas_ccs100_55
1,0.1252,1,0.208716987,1,1,1,1,1,0.009,1,0.0,1,1,1,0.0314,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0055,0.0014,0.002,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
2,0.1445,1,0.208716987,1,1,1,1,1,0.004,1,0.0,1,1,1,0.0302,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0001,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
3,0.1786,1,0.208716987,1,1,1,1,1,0.0171,1,0.0,1,1,1,0.0499,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0011,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
4,0.1766,1,0.208716987,1,1,1,1,1,0.0458,1,0.0,1,1,1,0.0594,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.001,0.0022,0.0053,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
5,0.1377,1,0.208716987,1,1,1,1,1,0.0328,1,0.0,1,1,1,0.0391,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0189,0.0357,0.0308,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
6,0.1496,1,0.208716987,1,1,1,1,1,0.0507,1,0.0,1,1,1,0.0672,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0353,0.0837,0.0626,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
7,0.1567,1,0.208716987,1,1,1,1,1,0.0503,1,0.1852,1,1,1,0.065,0.2475,1,1,1,1,1,1,0.4319,0.404,0.3489,0.2246,1,1,1,1,1,1,1,1,0.1162,0.2225,0.15,0.0501,0.1874,1,1,1,1,1,1,1,1,1,1,1,1,0.3658,0.3873,1,1
8,0.1471,1,0.208716987,1,1,1,1,1,0.0398,1,0.335,1,1,1,0.1238,0.4756,1,1,1,1,1,1,0.6274,0.6158,0.6244,0.497,1,1,1,1,1,1,1,1,0.2009,0.3345,0.289,0.2745,0.4175,1,1,1,1,1,1,1,1,1,1,1,1,0.6712,0.6919,1,1
9,0.2541,1,0.208716987,1,1,1,1,1,0.058,1,0.4765,1,1,1,0.1546,0.5839,1,1,1,1,1,1,0.6675,0.6414,0.7239,0.6491,1,1,1,1,1,1,1,1,0.2396,0.3108,0.3078,0.4622,0.523,1,1,1,1,1,1,1,1,1,1,1,1,0.8832,0.811,1,1
10,0.3825,1,0.208716987,1,1,1,1,1,0.0426,1,0.5843,1,1,1,0.2314,0.7432,1,1,1,1,1,1,0.7062,0.724,0.7803,0.6713,1,1,1,1,1,1,1,1,0.3417,0.4123,0.3903,0.5921,0.6292,1,1,1,1,1,1,1,1,1,1,1,1,0.9792,0.9189,1,1
11,0.4206,1,0.208716987,1,1,1,1,1,0.0187,1,0.636,1,1,1,0.3759,0.7904,1,1,1,1,1,1,0.7824,0.769,0.832,0.748,1,1,1,1,1,1,1,1,0.2486,0.2281,0.2352,0.6842,0.704,1,1,1,1,1,1,1,1,1,1,1,1,0.9993,0.9933,1,1
12,0.4206,1,0.208716987,1,1,1,1,1,0.014,1,0.6617,1,1,1,0.3913,0.79,1,1,1,1,1,1,0.7837,0.7967,0.8443,0.7744,1,1,1,1,1,1,1,1,0.1701,0.1098,0.1305,0.7926,0.7918,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.9976,1,1
13,0.3542,1,0.208716987,1,1,1,1,1,0.0268,1,0.6909,1,1,1,0.5096,0.7826,1,1,1,1,1,1,0.8324,0.7993,0.8519,0.8047,1,1,1,1,1,1,1,1,0.0287,0.0046,0.0075,0.8583,0.8165,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.9998,1,1
14,0.3286,1,0.208716987,1,1,1,1,1,0.0257,1,0.6925,1,1,1,0.598,0.7646,1,1,1,1,1,1,0.8861,0.875,0.8514,0.8015,1,1,1,1,1,1,1,1,0.0069,0.0058,0.0097,0.8995,0.8524,1,1,1,1,1,1,1,1,1,1,1,1,0.9951,0.9936,1,1
15,0.2353,1,0.208716987,1,1,1,1,1,0.0345,1,0.62,1,1,1,0.6243,0.7029,1,1,1,1,1,1,0.8598,0.8476,0.8485,0.7923,1,1,1,1,1,1,1,1,0.024,0.0442,0.0369,0.8541,0.7165,1,1,1,1,1,1,1,1,1,1,1,1,0.9155,0.9175,1,1
16,0.2219,1,0.208716987,1,1,1,1,1,0.0376,1,0.4645,1,1,1,0.6671,0.5522,1,1,1,1,1,1,0.7248,0.7119,0.6772,0.6706,1,1,1,1,1,1,1,1,0.0049,0.0033,0.0085,0.6649,0.5355,1,1,1,1,1,1,1,1,1,1,1,1,0.722,0.7237,1,1
17,0.1619,1,0.208716987,1,1,1,1,1,0.0574,1,0.2223,1,1,1,0.5588,0.3122,1,1,1,1,1,1,0.4212,0.4153,0.403,0.3968,1,1,1,1,1,1,1,1,0.0024,0.0017,0.0029,0.332,0.2891,1,1,1,1,1,1,1,1,1,1,1,1,0.4156,0.4131,1,1
