slot,cluster
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,1
9,1
10,1
11,1
12,2
13,3
14,2
15,1
16,2
17,1
18,3
19,3
20,3
21,1
22,3
23,3
24,3
25,3
26,4
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,2
42,3
43,2
44,3
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,2
